,input,acp,output
0,The user inputs the MID of a patient who is deceased and is prompted to try again.,1,{decision: allow; subject: user; action: input; resource: mid; condition: patient is deceased; purpose: none | decision: allow; subject: user; action: try; resource: again; condition: none; purpose: none}
1,The user (patient or personal health representative) can choose to view a list of their own prescriptions or  the prescriptions for whom the user is a person health representative by choosing one patient from a a list of these patients.,1,{decision: allow; subject: patient; action: view; resource: list of their own prescriptions; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: prescriptions for whom the user is a person health representative; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: list of their own prescriptions; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: prescriptions for whom the user is a person health representative; purpose: none; condition: none}
2,A fake email is sent to the patient or representative alerting the patient or representative that a new message reply has arrived.,1,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none}
3,The LHCP types an invalid age range and is prompted to try again.,1,{decision: allow; subject: lhcp; action: type; resource: invalid age range; condition: none; purpose: none | decision: allow; subject: lhcp; action: try; resource: again; condition: none; purpose: none}
4,The administrator types an invalid code information and is prompted to try again.,1,{decision: allow; subject: administrator; action: type; resource: invalid code; condition: none; purpose: none}
5,The receiving HCP chosen is not the desired HCP.,0,{decision: allow; subject: receiving hcp; action: choose; resource: desired hcp; condition: none; purpose: none}
6,The LHCP is presented with a listing of all his or her patients to view weight or pedometer data reported during the current date.,0,{decision: allow; subject: none; action: present; resource: listing of all his or her patients; purpose: view weight or pedometer data; condition: none}
7,"If there are no patients satisfying the three conditions, an empty list is presented.",0,{decision: allow; subject: none; action: present; resource: empty list; condition: if there are no patients satisfying the three conditions; purpose: none}
8,"The HCP must provide instructions (can neither be empty nor the default form field value), or else they cannot add the prescription.",1,{decision: allow; subject: hcp; action: provide; resource: instruction; purpose: none; condition: none | decision: allow; subject: hcp; action: add; resource: prescription; purpose: none; condition: none}
9,The user chooses to open his or her message inbox or outbox.,1,{decision: allow; subject: user; action: open; resource: message inbox; purpose: none; condition: none | decision: allow; subject: user; action: open; resource: message outbox; purpose: none; condition: none}
10,"Upon recording the results of the lab procedure, the status is updated to pending.",1,{decision: allow; subject: none; action: update; resource: status; purpose: none; condition: upon recording the results of the lab procedure}
12,"The administrator will store (1) the CPT code (The CPT code set accurately describes medical, surgical, and diagnostic services and is designed to communicate uniform information about medical services and procedures among physicians, coders, patients, accreditation organizations, and payers for administrative, financial, and analytical purposes.",1,{decision: allow; subject: administrator; action: store; resource: cpt code; purpose: none; condition: none}
13,The LHCP clicks this number to view the weight or pedometer monitoring details of his or her patients for the current date.,1,{decision: allow; subject: lhcp; action: click; resource: number; purpose: view the weight or pedometer monitoring details; condition: none}
14,The HCP can choose to remove the lab procedure as long as the status is either in transit or received.,1,{decision: allow; subject: hcp; action: remove; resource: lab procedure; purpose: none; condition: status is in transit | decision: allow; subject: hcp; action: remove; resource: lab procedure; purpose: none; condition: status is in received}
15,Patient specific instructions for an office visit are listed.,0,{decision: allow; subject: none; action: list; resource: patient specific instructions; purpose: none; condition: none}
16,"The HCP has authenticated himself or herself in the iTrust Medical Records system (UC2),(UC3).",1,{decision: allow; subject: hcp; action: authenticate; resource: hcp; condition: none; purpose: none}
17,"A UAP  or patient representative  can input the blood pressure, glucose levels, height, weight, or pedometer readings for a patient.",1,{decision: allow; subject: uap; action: see; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: uap; action: see; resource: height; purpose: none; condition: none | decision: allow; subject: uap; action: see; resource: weight; purpose: none; condition: none | decision: allow; subject: uap; action: see; resource: glucose level; purpose: none; condition: none | decision: allow; subject: uap; action: see; resource: pedometer reading; purpose: none; condition: none | decision: allow; subject: patient representative; action: see; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: patient representative; action: see; resource: height; purpose: none; condition: none | decision: allow; subject: patient representative; action: see; resource: weight; purpose: none; condition: none | decision: allow; subject: patient representative; action: see; resource: glucose level; purpose: none; condition: none | decision: allow; subject: patient representative; action: see; resource: pedometer reading; purpose: none; condition: none}
18,"If the requested appointment time does conflict with an existing appointments, the patient is presented with a list of the three next non-overlapping available appointment times within 7 days of the requested date.",1,{decision: allow; subject: none; action: present; resource: appointment time; purpose: none; condition: requested appointment time does conflict with an existing appointments}
19,The administrator selects one drug and is presented with a listing of all drug interactions with that drug.,1,{decision: allow; subject: administrator; action: select; resource: drug; purpose: none; condition: none}
20,"NHCS Classification of Diseases, Functioning and Disability.",0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
21,"An unlicensed personnel can enter and edit demographic information, diagnosis, office visit notes and other medical information, and can view records.",1,{decision: allow; subject: unlicensed personnel; action: enter; resource: demographic information; purpose: none; condition: none | decision: allow; subject: unlicensed personnel; action: enter; resource: diagnosis; purpose: none; condition: none | decision: allow; subject: unlicensed personnel; action: enter; resource: office visit notes; purpose: none; condition: none | decision: allow; subject: unlicensed personnel; action: enter; resource: other medical information; purpose: none; condition: none | decision: allow; subject: unlicensed personnel; action: edit; resource: demographic information; purpose: none; condition: none | decision: allow; subject: unlicensed personnel; action: edit; resource: diagnosis; purpose: none; condition: none | decision: allow; subject: unlicensed personnel; action: edit; resource: office visit notes; purpose: none; condition: none | decision: allow; subject: unlicensed personnel; action: edit; resource: other medical information; purpose: none; condition: none | decision: allow; subject: unlicensed personnel; action: view; resource: records; purpose: none; condition: none}
23,Inspired by Office of the National Coordinator for Health Information Technology (ONC) Quality Detailed Use Case. . .,0,{decision: allow; subject: none; action: inspire; resource: office of the national coordinator for health information technology (onc); condition: none; purpose: none}
24,"Emergency Responder (ER): Police, Fire, Emergency Medical Technicians (EMTs), and other medically trained emergency responders who provide care while at, or in transport from, the site of an emergency.",0,{decision: allow; subject: emergency responder; action: provide; resource: medical personnel; condition: none; purpose: none | decision: allow; subject: emergency responder; action: provide; resource: emergency medical technicians; condition: none; purpose: none}
25,"When viewing the calendar, the user selects an appointment from the list to read comment by clicking the 'Read Comments' link beside the row for the appointment, and then the comment for the appointment shall be displayed in a new page .",1,{decision: allow; subject: user; action: select; resource: appointment; purpose: read comment; condition: none | decision: allow; subject: user; action: read; resource: comment; purpose: none; condition: none | decision: allow; subject: user; action: click; resource: read comments link; purpose: none; condition: none | decision: allow; subject: none; action: display; resource: comment; purpose: none; condition: none}
26,the office visit date should link to the patient's view of the office visit (UC9).,0,"{decision: allow; subject: office visit date; action: link; resource: ""patients view of the office visit""; condition: none; purpose: none}"
27,"A sending HCP cancels a previously sent patient referral by visiting the office visit page, viewing the details of a previously sent patient referral , and choosing cancel.",1,{decision: allow; subject: sending hcp; action: cancel; resource: referral; purpose: none; condition: none}
28,Patient MID should be the number assigned when the patient is added to the system and cannot be edited.,1,{decision: allow; subject: none; action: assign; resource: mid; purpose: none; condition: when the patient is added to the system | decision: deny; subject: none; action: edit; resource: mid; purpose: none; condition: none}
29,An alive patient under the age of 19 who has not had proper immunizations per the immunization schedule.,0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
30,HCPs can return to an office visit and modify any patient specific instruction information or delete one or more patient specific instructions .,1,{decision: allow; subject: hcp; action: return; resource: office visit; purpose: none; condition: none | decision: allow; subject: hcp; action: modify; resource: information; purpose: none; condition: none | decision: allow; subject: hcp; action: delete; resource: instruction; purpose: none; condition: none}
31,"The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.",1,{decision: allow; subject: patient; action: enter; resource: zip code; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: name; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: specialty; purpose: none; condition: none}
32,The patient selects an LHCP from his or her provider list.,1,{decision: allow; subject: patient; action: select; resource: lhcp; purpose: none; condition: none}
33,The LHCP may choose to override this warning and confirm the date and time or may cancel and return to referring page.,1,{decision: allow; subject: lhcp; action: override; resource: warning; purpose: none; condition: none | decision: allow; subject: lhcp; action: confirm; resource: date; purpose: none; condition: none | decision: allow; subject: lhcp; action: confirm; resource: time; purpose: none; condition: none | decision: allow; subject: lhcp; action: cancel; resource: referring page; purpose: none; condition: none | decision: allow; subject: lhcp; action: return; resource: referring page; purpose: none; condition: none}
35,An LHCP can delete a patient from his or her monitoring list by the LHCP typing the the patient's MID .,1,{decision: allow; subject: lhcp; action: delete; resource: patient; purpose: none; condition: none}
