,input,acp,output
0,The drug desired to be prescribed is checked against the patient's drug allergies.,1,{decision: allow; subject: none; action: check; resource: drug; purpose: none; condition: none}
1,The user's associated filter initially has all empty inputs for the filtering criteria before the user modifies it.,1,{decision: allow; subject: user; action: modify; resource: filter; purpose: none; condition: none}
2,"The HCP selects a procedure code, a priority from 1 to 3 (1=most important, 3=not as important), and Lab Technician (listed with his or her specialty and the number of pending lab procedures in his or her priority queue, grouped by priority).",1,{decision: allow; subject: hcp; action: select; resource: procedure code; purpose: none; condition: none | decision: allow; subject: hcp; action: select; resource: priority; purpose: none; condition: none | decision: allow; subject: hcp; action: select; resource: lab technician; purpose: none; condition: none}
3,"If the confirmation screen does not show the name of the intended patient, the HCP is then prompted to input the correct patient identification information again.",1,{decision: allow; subject: hcp; action: input; resource: patient identification information; purpose: none; condition: confirmation screen does not show the name of the intended patient}
4,"The HCP confirms the reassignment, or cancels the reassignment .",1,{decision: allow; subject: hcp; action: confirm; resource: reassignment; purpose: none; condition: none | decision: allow; subject: hcp; action: cancel; resource: reassignment; purpose: none; condition: none}
5,The user can select an office visit from the calendar to read the visit's details .,1,{decision: allow; subject: user; action: select; resource: office visit; purpose: read the visits details; condition: none}
6,"The patient is sent a ""fake email"" that the HCP has prescribed a medication that he or she is allergic to or that has a known interaction with a drug he or she is taking.",1,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none}
7,The public health agent may also choose to remove an adverse event report (such as based upon communication with the reporter or because the report appears to be bogus) .,1,{decision: allow; subject: public health agent; action: remove; resource: adverse event report; purpose: none; condition: none}
8,"When an LHCP views a list of his or her upcoming appointments, they are presented with an option to edit or remove the appointment.",1,{decision: allow; subject: lhcp; action: edit; resource: appointment; purpose: none; condition: lhcp views a list of his or her upcoming appointments | decision: allow; subject: lhcp; action: remove; resource: appointment; purpose: none; condition: lhcp views a list of his or her upcoming appointments}
9,A LHCP creates an  UAP.,1,{decision: allow; subject: lhcp; action: create; resource: uap; purpose: none; condition: none}
10,"After the user modifies the criteria, the user chooses to click the ""Cancel"" button to cancel the modifications of the filter (i.e., repopulate the user interface with the values of the filtering criteria from the previously saved filter), to click the ""Test Search"" button to search (i.e., displaying the message inbox  including only the messages satisfying the specified filtering criteria), or to click the ""Save"" button to save the modified filter.",1,{decision: allow; subject: user; action: modify; resource: criteria; purpose: none; condition: none | decision: allow; subject: user; action: click; resource: cancel button; purpose: cancel the modifications of the filter; condition: none | decision: allow; subject: user; action: click; resource: test search button; purpose: search; condition: none | decision: allow; subject: user; action: click; resource: save button; purpose: save the modified filter; condition: none}
11,An HCP can add commentary to a pending lab procedure .,1,{decision: allow; subject: hcp; action: add; resource: commentary; purpose: none; condition: none}
12,This project involves the development of an application through which doctors can obtain and share essential patient information and can view aggregate patient data.,1,{decision: allow; subject: doctor; action: obtain; resource: patient information; purpose: none; condition: none | decision: allow; subject: doctor; action: share; resource: patient information; purpose: none; condition: none | decision: allow; subject: doctor; action: view; resource: patient data; purpose: none; condition: none}
13,The administrator will maintain a listing of allowable diagnoses that an LHCP can use.,1,{decision: allow; subject: administrator; action: maintain; resource: listing of allowable diagnoses; purpose: none; condition: none}
14,The patient has authenticated himself or herself in the iTrust Medical Records system(UC3).,1,{decision: allow; subject: patient; action: authenticate; resource: patient; condition: none; purpose: none}
15,The LHCP does not confirm the selection and can try again.,1,{decision: allow; subject: lhcp; action: try; resource: again; condition: none; purpose: none | decision: deny; subject: lhcp; action: confirm; resource: selection; condition: none; purpose: none}
16,The message will display the risk factors that the patients exhibit.,1,{decision: allow; subject: message; action: display; resource: risk factor; purpose: none; condition: none}
17,The data for personnel can be edited according to Data Format 6.2 (all fields mandatory except for associated MID and Street Address 2) .,1,{decision: allow; subject: none; action: edit; resource: data; purpose: none; condition: none}
18,The sending HCP does not confirm the selection and is prompted to try again.,1,{decision: deny; subject: hcp; action: confirm; resource: selection; condition: none; purpose: none | decision: allow; subject: hcp; action: try; resource: again; condition: none; purpose: none}
19,The medication is checked against the patient's current and future prescriptions.,1,{decision: allow; subject: none; action: check; resource: medication; purpose: none; condition: none}
