,input,acp,output
0,"Also, she cannot view the private notes of doctors and clearly she cannot sign the legal agreement on behalf of a resident.",1.0,{decision: deny; subject: she; action: view; resource: private note; purpose: none; condition: none | decision: deny; subject: she; action: sign; resource: legal agreement; purpose: none; condition: none}
1,"Requests for students to Receive ExternalGrades, and for faculty to Assign and View both InternalGrades and ExternalGrades, will succeed.",1.0,{decision: allow; subject: student; action: receive; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: assign; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: view; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: assign; resource: internalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: view; resource: internalgrades; purpose: none; condition: none}
2,The health care workers are required to sign a confidentiality agreement before they have access to any resident data.,1.0,{decision: allow; subject: health care worker; action: sign; resource: confidentiality agreement; purpose: none; condition: none}
3,This critical task should not be performed by a single user.,1.0,{decision: deny; subject: user; action: perform; resource: critical task; purpose: none; condition: none}
4,A subject cannot review a project he or she has submitted.,1.0,{decision: deny; subject: subject; action: review; resource: project; purpose: none; condition: subject submitted the project}
5,Customer service reps and managers may collect and use name and social security number for the purpose of confirming identity.,1.0,{decision: allow; subject: customer service rep; action: collect; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: customer service rep; action: collect; resource: social security number; purpose: confirming identity; condition: none | decision: allow; subject: customer service rep; action: use; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: customer service rep; action: use; resource: social security number; purpose: confirming identity; condition: none | decision: allow; subject: manager; action: collect; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: manager; action: collect; resource: social security number; purpose: confirming identity; condition: none | decision: allow; subject: manager; action: use; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: manager; action: use; resource: social security number; purpose: confirming identity; condition: none}
6,Pharmacy System may get reports and status information of the medicine dispenser.,1.0,{decision: allow; subject: pharmacy system; action: get; resource: report; purpose: none; condition: none | decision: allow; subject: pharmacy system; action: get; resource: status information of the medicine dispenser; purpose: none; condition: none}
7,The director chooses options from the package to give to all employees.,1.0,{decision: allow; subject: director; action: choose; resource: option; purpose: give to all employees; condition: none}
8,The director can promote an employee to be a  manager.,1.0,{decision: allow; subject: director; action: promote; resource: employee; purpose: be a manager; condition: none}
9,Authors of papers cannot be changed.,1.0,{decision: deny; subject: none; action: change; resource: author of paper; purpose: none; condition: none}
10,"Data Owners can determine the type of access given to other users (read, write, copy, etc.).",1.0,{decision: allow; subject: data owner; action: determine; resource: type of access; purpose: none; condition: none}
11,"If a subject is not a pc-chair or admin, then he or she may not set the meeting flag.",1.0,{decision: deny; subject: subject; action: set; resource: meeting flag; purpose: none; condition: subject is not a pc-chair or admin}
12,"For example, write a check use case should be invoked by (authorized to) clerk role.",1.0,{decision: allow; subject: clerk; action: invoke; resource: write a check use case; purpose: none; condition: none}
13,No user should perform more than one use case on each object.,0.0,{decision: allow; subject: user; action: perform; resource: one use case; condition: none; purpose: none}
14,Financial analysts can use customer accounts to make loan decisions.,1.0,{decision: allow; subject: financial analyst; action: use; resource: customer account; purpose: make loan decisions; condition: none}
15,"Employees ranked as professors or tenured assistant professors can select from, insert into, and delete from graduate admission related tables in the database.",1.0,{decision: allow; subject: professor; action: select; resource: graduate admission related table; purpose: none; condition: none | decision: allow; subject: professor; action: insert; resource: graduate admission related table; purpose: none; condition: none | decision: allow; subject: professor; action: delete; resource: graduate admission related table; purpose: none; condition: none | decision: allow; subject: tenured assistant professor; action: select; resource: graduate admission related table; purpose: none; condition: none | decision: allow; subject: tenured assistant professor; action: insert; resource: graduate admission related table; purpose: none; condition: none | decision: allow; subject: tenured assistant professor; action: delete; resource: graduate admission related table; purpose: none; condition: none}
16,The organisation may use email addresses to answer inquiries.,1.0,{decision: allow; subject: organisation; action: use; resource: email address; purpose: answer inquiries; condition: none}
17,The care plan is updated in consultation with the resident or the responsible person.,1.0,{decision: allow; subject: none; action: update; resource: care plan; purpose: none; condition: none}
18,Only the manager is allowed to add a new resident to the system and to start or update the care plan of a resident.,1.0,{decision: allow; subject: manager; action: add; resource: new resident; purpose: none; condition: none | decision: allow; subject: manager; action: start; resource: care plan of a resident; purpose: none; condition: none | decision: allow; subject: manager; action: update; resource: care plan of a resident; purpose: none; condition: none}
19,A PC member can resign his membership.,1.0,{decision: allow; subject: pc member; action: resign; resource: membership; purpose: none; condition: none}
20,"For example, according to Figure 2, supervisor role inherits purchasing officer’s permissions and purchasing officer inherits clerk’s permissions.",0.0,"{decision: allow; subject: supervisor role; action: inherit; resource: ""purchasing officers permissions""; condition: none; purpose: none | decision: allow; subject: purchasing officer; action: inherit; resource: ""clerks permissions""; condition: none; purpose: none}"
21,"Only administrators, not data owners, make changes to a resource's security label.",1.0,{decision: allow; subject: administrator; action: change; resource: security label; purpose: none; condition: none | decision: deny; subject: data owner; action: change; resource: security label; purpose: none; condition: none}
22,This is permitted with the consent of the resident or the responsible person and the notification of the manager.,1.0,{decision: allow; subject: none; action: permit; resource: this; purpose: none; condition: none}
23,All members of Faculty can Assign both InternalGrades and ExternalGrades.,1.0,{decision: allow; subject: member of faculty; action: assign; resource: internalgrades; purpose: none; condition: none | decision: allow; subject: member of faculty; action: assign; resource: externalgrades; purpose: none; condition: none}
