,input,acp,output
0,"Employees ranked as professors or tenured assistant professors can select from, insert into, and delete from graduate admission related tables in the database.",1.0,{decision: allow; subject: professor; action: select; resource: graduate admission related table; purpose: none; condition: none | decision: allow; subject: professor; action: insert; resource: graduate admission related table; purpose: none; condition: none | decision: allow; subject: professor; action: delete; resource: graduate admission related table; purpose: none; condition: none | decision: allow; subject: tenured assistant professor; action: select; resource: graduate admission related table; purpose: none; condition: none | decision: allow; subject: tenured assistant professor; action: insert; resource: graduate admission related table; purpose: none; condition: none | decision: allow; subject: tenured assistant professor; action: delete; resource: graduate admission related table; purpose: none; condition: none}
1,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and date of birth to help confirm identity.",1.0,{decision: allow; subject: customer service rep; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: customer service rep; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: customer service rep; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: customer service rep; action: use; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacist; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacist; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacist; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacist; action: use; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: billing reps; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: billing rep; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: billing rep; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: billing rep; action: use; resource: date of birth; purpose: help confirm identity; condition: none}
2,Customer service reps can use credit card number for the purpose of updating records if requested by a patient.,1.0,{decision: allow; subject: customer service rep; action: use; resource: credit card number; purpose: updating records; condition: requested by a patient}
3,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and e-mail addresses.",1.0,{decision: allow; subject: pharmacist; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: pharmacist; action: collect; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: pharmacist; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: pharmacist; action: use; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: billing rep; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: billing rep; action: collect; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: billing rep; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: billing rep; action: use; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: customer service rep; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: customer service rep; action: collect; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: customer service rep; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: customer service rep; action: use; resource: e-mail address; purpose: none; condition: none}
4,Shipping Reps can use customer name and customer mailing addresses to ship orders.,1.0,{decision: allow; subject: shipping rep; action: use; resource: customer mailing address; purpose: ship orders; condition: none | decision: allow; subject: shipping rep; action: use; resource: customer name; purpose: ship orders; condition: none}
5,Billing Reps can use credit card numbers for order processing.,1.0,{decision: allow; subject: billing rep; action: use; resource: credit card number; purpose: order processing; condition: none}
6,"Customer Service Reps can modify credit card numbers for order processing, if the customer is notified by email of the change.",1.0,{decision: allow; subject: customer service rep; action: modify; resource: credit card number; purpose: order processing; condition: customer is notified by email of the change}
7,"Customer service reps, ducks or Lawyers can use credit card number for the purpose of making treatment decisions if customer has opted-in.",1.0,{decision: allow; subject: customer service rep; action: use; resource: credit card number; purpose: making treatment decisions; condition: customer has opted-in | decision: allow; subject: duck; action: use; resource: credit card number; purpose: making treatment decisions; condition: customer has opted-in | decision: allow; subject: lawyer; action: use; resource: credit card number; purpose: making treatment decisions; condition: customer has opted-in}
8,Admission nurses use SSN for reviewing eligibility if requested by a patient who is returning.,1.0,{decision: allow; subject: admission nurse; action: use; resource: ssn; purpose: reviewing eligibility; condition: requested by a patient who is returning}
9,Customer service reps and managers may collect and use name and social security number for the purpose of confirming identity.,1.0,{decision: allow; subject: customer service rep; action: collect; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: customer service rep; action: collect; resource: social security number; purpose: confirming identity; condition: none | decision: allow; subject: customer service rep; action: use; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: customer service rep; action: use; resource: social security number; purpose: confirming identity; condition: none | decision: allow; subject: manager; action: collect; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: manager; action: collect; resource: social security number; purpose: confirming identity; condition: none | decision: allow; subject: manager; action: use; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: manager; action: use; resource: social security number; purpose: confirming identity; condition: none}
10,The organisation may use email addresses to answer inquiries.,1.0,{decision: allow; subject: organisation; action: use; resource: email address; purpose: answer inquiries; condition: none}
11,Supervisors can collect personal information if required by law.,1.0,{decision: allow; subject: supervisor; action: collect; resource: personal information; purpose: none; condition: none}
12,Financial consultants can collect and use customer name for the purpose of confirming identity.,1.0,{decision: allow; subject: financial consultant; action: collect; resource: customer name; purpose: confirming identity; condition: none | decision: allow; subject: financial consultant; action: use; resource: customer name; purpose: confirming identity; condition: none}
13,Financial analysts can use customer accounts to make loan decisions.,1.0,{decision: allow; subject: financial analyst; action: use; resource: customer account; purpose: make loan decisions; condition: none}
14,Management can report customer transactions if required by law.,1.0,{decision: allow; subject: management; action: report; resource: customer transaction; purpose: none; condition: none}
15,The director chooses options from the package to give to all employees.,1.0,{decision: allow; subject: director; action: choose; resource: option; purpose: give to all employees; condition: none}
16,He or she also can read the information about the distribution of options.,1.0,{decision: allow; subject: he; action: read; resource: information about the distribution of option; purpose: none; condition: none | decision: allow; subject: she; action: read; resource: information about the distribution of option; purpose: none; condition: none}
17,The director can promote an employee to be a  manager.,1.0,{decision: allow; subject: director; action: promote; resource: employee; purpose: be a manager; condition: none}
18,"An employee can appoint another employee to be his advocate, and have read access to his bonus information – for example, this might be useful if he needs help from a trade union.",1.0,{decision: allow; subject: employee; action: appoint; resource: employee; purpose: be his advocate; condition: none | decision: allow; subject: employee; action: appoint; resource: employee; purpose: have read access to his bonus information; condition: none}
19,"For example, write a check use case should be invoked by (authorized to) clerk role.",1.0,{decision: allow; subject: clerk; action: invoke; resource: write a check use case; purpose: none; condition: none}
20,"If the invoice’s total amount exceeds one million, then two different supervisors must authorize the invoice.",1.0,{decision: allow; subject: supervisor; action: authorize; resource: invoice; purpose: none; condition: invoice’s total amount exceeds one million}
21,A professor can review the same project at most one time.,1.0,{decision: allow; subject: professor; action: review; resource: same project; purpose: none; condition: none}
22,Only the business office manager and the dean can approve a project.,1.0,{decision: allow; subject: business office manager; action: approve; resource: project; purpose: none; condition: none | decision: allow; subject: dean; action: approve; resource: project; purpose: none; condition: none}
23,The PC chair appoints the PC members.,1.0,{decision: allow; subject: pc chair; action: appoint; resource: pc member; purpose: none; condition: none}
24,A PC member can resign his membership.,1.0,{decision: allow; subject: pc member; action: resign; resource: membership; purpose: none; condition: none}
25,The reviewer of a paper can assign the paper to be sub-reviewed by an agent who is not an author of the paper and has not been assigned the same paper by another reviewer.,1.0,{decision: allow; subject: reviewer; action: assign; resource: paper; purpose: be sub-reviewed by an agent who is not an author of the paper and has not been assigned the same paper by another reviewer; condition: none}
26,All members of Faculty can Assign both InternalGrades and ExternalGrades.,1.0,{decision: allow; subject: member of faculty; action: assign; resource: internalgrades; purpose: none; condition: none | decision: allow; subject: member of faculty; action: assign; resource: externalgrades; purpose: none; condition: none}
27,"Requests for students to Receive ExternalGrades, and for faculty to Assign and View both InternalGrades and ExternalGrades, will succeed.",1.0,{decision: allow; subject: student; action: receive; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: assign; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: view; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: assign; resource: internalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: view; resource: internalgrades; purpose: none; condition: none}
28,The sole counter-example shows that a student with the freedom to assign external grades is also a ta but not a faculty member.,1.0,{decision: allow; subject: ta; action: assign; resource: external grades; purpose: none; condition: none}
29,All members of role Faculty Family can receive External-Grades.,1.0,{decision: allow; subject: members of role faculty family; action: receive; resource: external-grade; purpose: none; condition: none}
30,"If the subject is a faculty member, then permit that subject to assign grades.",1.0,{decision: allow; subject: subject; action: assign; resource: grades; purpose: none; condition: subject is a faculty member}
31,"If the subject is not a faculty member, then permit that subject to enroll in courses.",1.0,{decision: allow; subject: subject; action: enroll; resource: courses; purpose: none; condition: subject is not a faculty member}
32,"The manager has the broadest access to the information, including access to personal, financial, clinical and medical information about each resident.",1.0,{decision: allow; subject: manager; action: access; resource: personal information about each resident; purpose: none; condition: none | decision: allow; subject: manager; action: access; resource: financial information about each resident; purpose: none; condition: none | decision: allow; subject: manager; action: access; resource: medical information about each resident; purpose: none; condition: none | decision: allow; subject: manager; action: access; resource: clinical information about each resident; purpose: none; condition: none}
33,Only the manager is allowed to add a new resident to the system and to start or update the care plan of a resident.,1.0,{decision: allow; subject: manager; action: add; resource: new resident; purpose: none; condition: none | decision: allow; subject: manager; action: start; resource: care plan of a resident; purpose: none; condition: none | decision: allow; subject: manager; action: update; resource: care plan of a resident; purpose: none; condition: none}
34,The care plan is updated in consultation with the resident or the responsible person.,1.0,{decision: allow; subject: none; action: update; resource: care plan; purpose: none; condition: none}
35,Only the manager is allowed to delete the information about a resident but here also that right is restricted.,1.0,{decision: allow; subject: manager; action: delete; resource: information about a resident; purpose: none; condition: none}
36,The health care workers are required to sign a confidentiality agreement before they have access to any resident data.,1.0,{decision: allow; subject: health care worker; action: sign; resource: confidentiality agreement; purpose: none; condition: none}
37,Their main form of access is to view the care plan for each resident and to add progress note entries based on their observations.,1.0,{decision: allow; subject: they; action: view; resource: care plan for each resident; purpose: none; condition: none | decision: allow; subject: they; action: add; resource: progress note entry; purpose: none; condition: none}
38,Access to emergency details is available for all staff.,1.0,{decision: allow; subject: staff; action: access; resource: emergency detail; purpose: none; condition: none}
39,"For a special purpose, access to an older medical record can be sought and obtained from the manager.",1.0,{decision: allow; subject: none; action: access; resource: older medical record; purpose: special purpose; condition: none}
40,A visiting doctor has access to all the medical information of residents who are his or her patients and can add entries to their medical records.,1.0,{decision: allow; subject: visiting doctor; action: access; resource: all the medical information of residents; purpose: none; condition: none | decision: allow; subject: visiting doctor; action: add; resource: entries; purpose: none; condition: none}
41,"Occasionally, due to pressing circumstances, it may be necessary for a visiting doctor to examine a resident who is not normally his or her patient.",1.0,{decision: allow; subject: visiting doctor; action: examine; resource: resident; purpose: none; condition: none}
42,This is permitted with the consent of the resident or the responsible person and the notification of the manager.,1.0,{decision: allow; subject: none; action: permit; resource: this; purpose: none; condition: none}
43,"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",1.0,{decision: allow; subject: person; action: access; resource: information stored about them; purpose: none; condition: well being of a third party would not be jeopardised}
44,A user should already grant diagnosing right to create medicine orders.,1.0,{decision: allow; subject: user; action: grant; resource: diagnosing right; purpose: none; condition: none}
45,"Only one user, here is the Pharmacy System, can load medicines to the medicine dispenser.",1.0,{decision: allow; subject: user; action: load; resource: medicines; purpose: none; condition: none}
46,Pharmacy System may get reports and status information of the medicine dispenser.,1.0,{decision: allow; subject: pharmacy system; action: get; resource: report; purpose: none; condition: none | decision: allow; subject: pharmacy system; action: get; resource: status information of the medicine dispenser; purpose: none; condition: none}
47,Pharmacy System can load medicines to the dispenser only at a time interval 12:00-13:00 in a day.,1.0,{decision: allow; subject: pharmacy system; action: load; resource: medicine; purpose: none; condition: at a time interval 12:00-13:00 in a day}
48,Only Doctors and Nurses can read patient records.,1.0,{decision: allow; subject: doctor; action: read; resource: patient record; purpose: none; condition: none | decision: allow; subject: nurse; action: read; resource: patient record; purpose: none; condition: none}
49,Any subject with an e-mail name in the med.example.com domain can perform any action on any resource.,1.0,{decision: allow; subject: subject; action: perform; resource: action; purpose: none; condition: e-mail name in the med.example.com domain}
50,"A person, identified by his or her patient number, may read any record for which he or she is the designated patient.",1.0,{decision: allow; subject: person; action: read; resource: record; purpose: none; condition: none}
51,"A person may read any record for which he or she is the designated parent or guardian, and for which the patient is under 16 years of age.",1.0,{decision: allow; subject: person; action: read; resource: record; purpose: none; condition: person is the designated parent or guardian | decision: allow; subject: person; action: read; resource: record; purpose: none; condition: the patient is under 16 years of age}
52,"A physician may write to any medical element for which he or she is the designated primary care physician, provided an email is sent to the patient.",1.0,{decision: allow; subject: physician; action: write; resource: medical element; purpose: none; condition: email is sent to the patient}
53,Administrators can access only the administrative pages,1.0,{decision: allow; subject: administrators; action: access; resource: administrative page; purpose: none; condition: none}
54,Guests can access all the public areas of the site,1.0,{decision: allow; subject: guest; action: access; resource: all the public areas of the site; purpose: none; condition: none}
55,"Owners can access their account, move funds, and review transactions.",1.0,{decision: allow; subject: owner; action: access; resource: account; purpose: none; condition: none | decision: allow; subject: owner; action: move; resource: fund; purpose: none; condition: none | decision: allow; subject: owner; action: review; resource: transaction; purpose: none; condition: none}
56,Planners can access the sites financial planning and tax preparation functions,1.0,{decision: allow; subject: planner; action: access; resource: sites financial planning function; purpose: none; condition: none | decision: allow; subject: planner; action: access; resource: tax preparation function; purpose: none; condition: none}
57,Payers can use the site's bill paying function .,1.0,{decision: allow; subject: payer; action: use; resource: bill paying function; purpose: none; condition: none}
58,Data Owners can transfer ownership of information to other users.,1.0,{decision: allow; subject: data owner; action: transfer; resource: ownership of information; purpose: none; condition: none}
59,"Data Owners can determine the type of access given to other users (read, write, copy, etc.).",1.0,{decision: allow; subject: data owner; action: determine; resource: type of access; purpose: none; condition: none}
60,"Users who do not have access to information should not be able to determine its characteristics (file size, file name, directory path, etc.)",1.0,{decision: allow; subject: user; action: determine; resource: characteristic; purpose: none; condition: users do not have access to information}
61,"All users can read from a lower classification than the one they are granted (A ""secret"" user can read an unclassified document).",1.0,{decision: allow; subject: user; action: read; resource: lower classification; purpose: none; condition: none | decision: allow; subject: secret user; action: read; resource: unclassified document; purpose: none; condition: none}
62,"All users can write to a higher classification (A ""secret"" user can post information to a Top Secret resource).",1.0,{decision: allow; subject: user; action: write; resource: higher classification; purpose: none; condition: none | decision: allow; subject: secret user; action: post; resource: top secret resource; purpose: none; condition: none}
63,"All users are given read or write access to objects only of the same classification (a ""secret"" user can only read or write to a secret document).",1.0,{decision: allow; subject: user; action: read; resource: object; purpose: none; condition: none | decision: allow; subject: user; action: write; resource: objects; purpose: none; condition: none | decision: allow; subject: secret user; action: read; resource: secret document; purpose: none; condition: none | decision: allow; subject: secret user; action: write; resource: secret document; purpose: none; condition: none}
64,Staff can print on HP Laserjet 1.,1.0,{decision: allow; subject: staff; action: print; resource: hp laserjet 1; purpose: none; condition: none}
65,David can assign the manager role to Alice.,1.0,{decision: allow; subject: david; action: assign; resource: manager; purpose: none; condition: none}
66,John can assign clerk to users from department A,1.0,{decision: allow; subject: john; action: assign; resource: clerk; purpose: none; condition: none}
67,Clerk can read from database.,1.0,{decision: allow; subject: clerk; action: read; resource: database; purpose: none; condition: none}
68,Owners can read Name.,1.0,{decision: allow; subject: owner; action: read; resource: name; purpose: none; condition: none}
69,"Clerks can add and change the Name, the date of birth, the Address and the Postcode.",1.0,{decision: allow; subject: clerk; action: add; resource: name; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: date of birth; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: address; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: postcode; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: name; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: date of birth; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: address; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: postcode; purpose: none; condition: none}
70,All members of FACULTY can ASSIGN both INTERNALGRADES and EXTERNALGRADES.,1.0,{decision: allow; subject: member of faculty; action: assign; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: member of faculty; action: assign; resource: internalgrades; purpose: none; condition: none}
71,All members of STUDENT can RECEIVE EXTERNALGRADES.,1.0,{decision: allow; subject: member of student; action: receive; resource: externalgrades; purpose: none; condition: none}
72,"During the submission phase, an author may submit a paper.",1.0,{decision: allow; subject: author; action: submit; resource: paper; purpose: none; condition: during the submission phase}
73,"During the review phase, reviewer may submit a review for paper if reviewer is assigned to review paper.",1.0,{decision: allow; subject: reviewer; action: submit; resource: review; purpose: none; condition: reviewer is assigned to review paper}
74,"During the meeting phase, reviewer can read the scores for paper if reviewer has submitted a review for paper.",1.0,{decision: allow; subject: reviewer; action: read; resource: scores for paper; purpose: none; condition: reviewer has submitted a review for paper}
75,"In the current paper system, all the information stored about a resident is accessible to the resident by arrangement with the manager.",1.0,{decision: allow; subject: resident; action: access; resource: information; condition: none; purpose: none}
76,"Managers can read and set ordinary employees’ bonuses, but not those of other managers or the director.",1.0,{decision: allow; subject: manager; action: read; resource: ordinary employee bonus; purpose: none; condition: none | decision: allow; subject: manager; action: set; resource: ordinary employee bonus; purpose: none; condition: none | decision: deny; subject: manager; action: read; resource: manager bonuses; purpose: none; condition: none | decision: deny; subject: manager; action: set; resource: manager bonus; purpose: none; condition: none | decision: deny; subject: manager; action: read; resource: director bonus; purpose: none; condition: none | decision: deny; subject: manager; action: set; resource: director bonus; purpose: none; condition: none}
77,Supervisor can not  execute the write a check use case.,1.0,{decision: deny; subject: supervisor; action: execute; resource: write a check use case; purpose: none; condition: none}
78,"For example, a user should not record and verify the same invoice.",1.0,{decision: deny; subject: user; action: record; resource: invoice; purpose: none; condition: none | decision: deny; subject: user; action: verify; resource: invoice; purpose: none; condition: none}
79,Every subject in the hierarchy except the business office manager can submit a project.,1.0,{decision: allow; subject: subject; action: submit; resource: project; purpose: none; condition: none | decision: deny; subject: business office manager; action: submit; resource: project; purpose: none; condition: none}
80,"Every professor, except assistant professors, can review a project.",1.0,{decision: allow; subject: professor; action: review; resource: project; purpose: none; condition: none | decision: deny; subject: assistant professor; action: review; resource: project; purpose: none; condition: none}
81,A subject cannot review a project he or she has submitted.,1.0,{decision: deny; subject: subject; action: review; resource: project; purpose: none; condition: subject submitted the project}
82,A subject cannot approve projects he or she has reviewed or submitted.,1.0,{decision: deny; subject: subject; action: approve; resource: project; purpose: none; condition: none}
83,Authors of papers cannot be changed.,1.0,{decision: deny; subject: none; action: change; resource: author of paper; purpose: none; condition: none}
84,"The PC chair can assign a paper to a PC member for reviewing, except if he is one of its authors.",1.0,{decision: deny; subject: pc chair; action: assign; resource: paper; purpose: reviewing; condition: he is one of its authors}
85,"All PC members, except the author(s) of a paper can know who are the reviewers for this paper.",1.0,{decision: allow; subject: pc member; action: know; resource: reviewer; purpose: none; condition: none | decision: deny; subject: author of paper; action: know; resource: reviewers; purpose: none; condition: none}
86,"A reviewer of a paper can resign, unless he has already appointed a sub-reviewer for the paper.",1.0,{decision: deny; subject: reviewer; action: resign; resource: none; purpose: none; condition: he has already appointed a sub-reviewer for the paper}
87,"A sub-reviewer can resign, unless he has already submitted his review.",1.0,{decision: allow; subject: sub-reviewer; action: resign; resource: none; purpose: none; condition: he has not submitted his review}
88,There do not exist members of Student who can Assign ExternalGrades.,1.0,{decision: deny; subject: member of student; action: assign; resource: externalgrades; purpose: none; condition: none}
89,No combination of roles exists such that a user with those roles can both Receive and Assign the resource ExternalGrades.,1.0,{decision: deny; subject: user; action: receive; resource: externalgrades; purpose: none; condition: none | decision: deny; subject: user; action: assign; resource: externalgrades; purpose: none; condition: none}
90,"TA can view and assign InternalGrades but not ExternalGrades (since faculty must take final responsibility for all external grades), combined with Pol3.",1.0,{decision: allow; subject: ta; action: view; resource: internalgrades; purpose: none; condition: none | decision: allow; subject: ta; action: assign; resource: internalgrades; purpose: none; condition: none | decision: deny; subject: ta; action: view; resource: externalgrades; purpose: none; condition: none | decision: deny; subject: ta; action: assign; resource: externalgrades; purpose: none; condition: none}
91,"If the subject is a student, then do not permit that subject to assign grades.",1.0,{decision: deny; subject: subject; action: assign; resource: grade; purpose: none; condition: subject is a student}
92,"Although she can enter the past medical records when a resident is admitted, she cannot subsequently add medical entries to the system.",1.0,{decision: allow; subject: she; action: enter; resource: past medical record; purpose: none; condition: resident is admitted | decision: deny; subject: she; action: add; resource: medical entry; purpose: none; condition: none}
93,"Also, she cannot view the private notes of doctors and clearly she cannot sign the legal agreement on behalf of a resident.",1.0,{decision: deny; subject: she; action: view; resource: private note; purpose: none; condition: none | decision: deny; subject: she; action: sign; resource: legal agreement; purpose: none; condition: none}
94,Health care workers can view recent medical records of residents (up to one year old) but cannot normally view older medical information.,1.0,{decision: allow; subject: health care worker; action: view; resource: recent medical record; purpose: none; condition: none | decision: deny; subject: health care worker; action: view; resource: older medical information; purpose: none; condition: none}
95,"So, for example, the manager should be made aware of repeated attempts by a health care worker to access information beyond their rights.",1.0,{decision: allow; subject: manager; action: aware; resource: repeated attempt; purpose: none; condition: none}
96,"Doctors also can add private notes about a resident, which, on the basis of doctor-patient confidentiality, are not visible to health care staff or the manager.",1.0,{decision: allow; subject: doctor; action: add; resource: private note; purpose: none; condition: none | decision: deny; subject: health care staff; action: view; resource: private note; purpose: none; condition: none | decision: deny; subject: manager; action: view; resource: private note; purpose: none; condition: none}
97,The doctor then has temporary access to the resident’s medical records (but not to the private notes of the resident’s usual doctor).,1.0,{decision: allow; subject: doctor; action: access; resource: medical record; purpose: none; condition: none | decision: deny; subject: doctor; action: access; resource: private note; purpose: none; condition: none}
98,In an electronic system we can allow residents to hook into the network at any time as long as they can view only their own data and cannot make arbitrary changes.,1.0,{decision: allow; subject: resident; action: hook; resource: network; purpose: none; condition: they can view only their own data and cannot make arbitrary changes}
99,This critical task should not be performed by a single user.,1.0,{decision: deny; subject: user; action: perform; resource: critical task; purpose: none; condition: none}
100,"However, it should not perform these operations when it is loading medicines to the medicine dispenser.",1.0,{decision: deny; subject: it; action: perform; resource: operations; purpose: none; condition: it is loading medicines to the medicine dispenser}
101,Pharmacy System should not read patient records even if it can read patient medicine orders.,1.0,{decision: deny; subject: pharmacy system; action: read; resource: patient record; purpose: none; condition: none | decision: allow; subject: pharmacy system; action: read; resource: patient medicine order; purpose: none; condition: none}
102,An administrator shall not be permitted to read or write to medical elements of a patient record.,1.0,{decision: deny; subject: administrator; action: read; resource: medical element; purpose: none; condition: none | decision: deny; subject: administrator; action: write; resource: medical element; purpose: none; condition: none}
103,"Users can view an Owner's account, but not make changes",1.0,{decision: allow; subject: user; action: view; resource: owner account; purpose: none; condition: none | decision: deny; subject: user; action: change; resource: owner account; purpose: none; condition: none}
104,"Only administrators, not data owners, make changes to a resource's security label.",1.0,{decision: allow; subject: administrator; action: change; resource: security label; purpose: none; condition: none | decision: deny; subject: data owner; action: change; resource: security label; purpose: none; condition: none}
105,Owners cannot change any data but can read it all.,1.0,{decision: allow; subject: owner; action: read; resource: data; purpose: none; condition: none | decision: deny; subject: owner; action: change; resource: data; purpose: none; condition: none}
106,There do not exist members of STUDENT who can ASSIGN EXTERNALGRADES.,1.0,{decision: deny; subject: student; action: assign; resource: externalgrades; purpose: none; condition: none}
107,There exists no combination of roles such that a user with those roles can both RECEIVE and ASSIGN the resource EXTERNALGRADES.,1.0,{decision: deny; subject: user; action: receive; resource: externalgrades; purpose: none; condition: none | decision: deny; subject: user; action: assign; resource: externalgrades; purpose: none; condition: none}
108,"If a subject is not a pc-chair or admin, then he or she may not set the meeting flag.",1.0,{decision: deny; subject: subject; action: set; resource: meeting flag; purpose: none; condition: subject is not a pc-chair or admin}
109,"If someone is not a pc-chair or admin, then he or she can never see paper-review-rc for which he or she is conflicted.",1.0,{decision: deny; subject: person; action: see; resource: paper-review-rc; purpose: none; condition: person is not a pc-chair or admin}
