,input,acp,output
0,Other formats will be included in future versions of CyberChair.,0,{decision: allow; subject: other; action: include; resource: future versions of cyberchair; condition: none; purpose: none}
1,Reviews can be updated.,1,{decision: allow; subject: none; action: update; resource: review; purpose: none; condition: none}
2,(Deprication warnings indicate that certain language constructs may no longer be supported in next versions of the language.),0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
3,In The Information Lens  the authors focus on sharing information among a group of people to solve problems.,1,{decision: allow; subject: author; action: share; resource: information; condition: none; purpose: to solve problems}
4,"Moreover, collecting, maintaining and comparing reviews by the program committee chair may also become quite tedious, if not troublesome, due to the large amount of material, even when submitted by email.",0,{decision: allow; subject: none; action: collect; resource: materials; condition: none; purpose: none | decision: allow; subject: none; action: maintain; resource: materials; condition: none; purpose: none | decision: allow; subject: none; action: compare; resource: reviews; condition: none; purpose: none}
5,"CyberChair collects abstracts, papers and reviews and can therefore be regarded as a system that provides a shared workspace.",1,{decision: allow; subject: cyberchair; action: collect; resource: abstract; purpose: none; condition: none | decision: allow; subject: cyberchair; action: collect; resource: paper; purpose: none; condition: none | decision: allow; subject: cyberchair; action: collect; resource: review; purpose: none; condition: none}
6,The Artefact Framework  uses html frames like Cyber-Chair.,0,{decision: allow; subject: none; action: use; resource: html frames; condition: none; purpose: none | decision: allow; subject: none; action: use; resource: cyber-chair; condition: none; purpose: none}
7,"CyberChair is based on the paper Identify the Champion, an organisational pattern language for programme committees, by Professor Oscar Nierstrasz (University of Berne, Switzerland).",0,{decision: allow; subject: cyberchair; action: identify; resource: organisational pattern; condition: none; purpose: none | decision: allow; subject: cyberchair; action: identify; resource: champion; condition: none; purpose: none}
8,"After the program committee meeting has taken place, and papers have been selected, the (anonymous) comments can be automatically sent to the authors.",1,{decision: allow; subject: none; action: send; resource: comment; purpose: none; condition: program committee meeting has taken place | decision: allow; subject: none; action: send; resource: comment; purpose: none; condition: papers have been selected}
9,"The current version of CyberChair supports all phases of the review process, including preparation of the proceedings in the electronic format prescribed by the publisher.",1,{decision: allow; subject: cyberchair; action: support; resource: phases of the review process; condition: none; purpose: none}
10,"In his paper Identify the Champion , O. Nierstrasz describes this review process in terms of a pattern language.",0,{decision: allow; subject: o. nierstrasz; action: identify; resource: champion; condition: none; purpose: none}
11,"In case there are less than 4 reviewers, this process is repeated with the list of reviewers who indicated a low preference for the paper.",1,{decision: allow; subject: none; action: repeat; resource: review process; purpose: none; condition: there are less than 4 reviewers}
12,Those parts are explained in this section.,0,{decision: allow; subject: none; action: explain; resource: parts; condition: none; purpose: none}
13,"Moreover, since we chose to regenerate the state of all papers displayed on the reviewer’s webpage every 5 minutes, this would make it almost impossible for reviewers to enter a review form.",1,{decision: deny; subject: reviewer; action: enter; resource: review form; purpose: none; condition: none}
14,"In case a reviewer has already submitted a review of the selected paper, hyperlinks to the reviews of the other reviewers are shown, so that the reviewer can read their opinion.",1,{decision: allow; subject: none; action: show; resource: hyperlink; purpose: reviewer can read their opinion; condition: reviewer has already submitted a review of the selected paper}
15,You will see a list of overviews that are available to the chair.,1,{decision: allow; subject: you; action: see; resource: list of overviews; purpose: none; condition: none}
16,"at 'No', because each 'reviewer' has been assigned a bogus email address, which will bounce.",0,{decision: allow; subject: none; action: assign; resource: bogus email; condition: none; purpose: none}
17,"Using a coloring scheme, the state of reviews is indicated.",0,{decision: allow; subject: none; action: indicate; resource: state of reviews; purpose: none; condition: none}
18,"Typically, the review process ends by organizing a Program Committee meeting, prepared by the PCC, where papers are discussed and accepted or rejected for presentation at the conference.",0,{decision: allow; subject: none; action: organize; resource: program committee meeting; condition: none; purpose: none | decision: allow; subject: none; action: prepare; resource: papers; condition: none; purpose: none}
19,"If this is the case, then the reviews of the other reviewers for this paper are copied into the reviewer’s directory.",1,{decision: allow; subject: none; action: copy; resource: review; purpose: none; condition: this is the case}
20,"The result is a significant decrease of the work-load of the program chair and the ease of submitting author information, papers and reviews instantly in electronic form.",0,{decision: allow; subject: none; action: submit; resource: result; condition: none; purpose: none}
21,"When all submissions have arrived, suitable members of the Program Committee (PC) must be selected to review each paper.",1,{decision: allow; subject: none; action: select; resource: members of the program committee (pc); purpose: none; condition: all submissions have arrived}
22,"CyberChair provides direct reflection on submitted reviews (for easy comparison with the other reviewers' opinions), without the maintainer's interference.",1,{decision: allow; subject: cyberchair; action: provide; resource: reflection; purpose: none; condition: none}
23,"After the meeting, the reviewers’ comments are sent back to the authors, so that they can improve their paper.",1,{decision: allow; subject: none; action: send; resource: comment; purpose: authors can improve their paper; condition: none}
24,The maintainer (who might be the same person as the PCC) installs CyberChair.,0,{decision: allow; subject: maintainer; action: install; resource: cyberchair; condition: none; purpose: none}
25,Reviewers may bid in several stages.,0,{decision: allow; subject: reviewer; action: bid; resource: none; purpose: none; condition: none}
26,Other conferences have used older versions of CyberChair.,0,{decision: allow; subject: other conference; action: use; resource: older versions of cyberchair; condition: none; purpose: none}
27,"We decided to automate this and provide electronic review forms, by using the World Wide Web (WWW), since all reviewers were now able to use this emerging technology.",0,{decision: allow; subject: we; action: provide; resource: electronic review forms; condition: none; purpose: none | decision: allow; subject: we; action: automate; resource: manual review forms; condition: none; purpose: none}
28,"It helps the PC to select the best papers for the conference, which makes it a group decision support system.",1,{decision: allow; subject: pc; action: select; resource: paper; purpose: none; condition: none}
29,"Finally, after the camera-ready papers have been submitted, the proceedings must be prepared by the maintainer by entering the conference sessions and the numbers of the papers within those sections in a specific template file.",1,{decision: allow; subject: maintainer; action: prepare; resource: proceeding; purpose: none; condition: camera-ready papers have been submitted}
30,"There is also support for the preparation of the proceedings (using the format required for Springer Verlag, the publisher of the proceedings of ECOOP).",0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
31,Papers that have not received enough bids should be assigned based on the expertise of the reviewers.,1,{decision: allow; subject: none; action: assign; resource: paper; purpose: none; condition: papers that have not received enough bid}
32,The version that is currently available for download was introduced for ECOOP 2000.,0,{decision: allow; subject: none; action: introduce; resource: version; condition: none; purpose: for ecoop 2000}
33,Monitoring the review process,0,{decision: allow; subject: monitoring; action: monitor; resource: review process; condition: none; purpose: none}
34,"For the frame to display the current state of reviews, the URL is not the name of a file, but the name of a CGI script which recalculates the state of all papers and ’prints’ its output in the frame.",0,{decision: allow; subject: none; action: display; resource: url; condition: none; purpose: none}
35,Reviewers are also asked to inform the maintainer of papers they do not want to review because of a conflict of interest.,1,{decision: allow; subject: reviewer; action: inform; resource: maintainer; purpose: none; condition: none}
36,"As soon as the reviewer has submitted his or her review, the review will be the default to be displayed in this frame when the reviewer clicks on the paper number in the top frame.",1,{decision: allow; subject: none; action: display; resource: review; purpose: none; condition: reviewer clicks on the paper number in the top frame}
37,There is no need to wait until the submission process has finished.,0,{decision: allow; subject: none; action: wait; resource: submission process; condition: none; purpose: none}
38,"Therefore, a template is provided to the reviewers which they can use to fill in reviews off-line and send them by email.",0,{decision: allow; subject: none; action: provide; resource: template; condition: none; purpose: none}
39,The pages of the reviewers are generated once by the maintainer when the paper distribution has been done.,1,{decision: allow; subject: maintainer; action: generate; resource: page; purpose: none; condition: paper distribution has been done}
40,"If a reviewer wishes, he or she may send reviews by email, and never look at his or her webpage.",0,{decision: allow; subject: reviewer; action: look; resource: webpage; condition: if a reviewer wishes; purpose: none | decision: allow; subject: reviewer; action: send; resource: reviews; condition: if a reviewer wishes; purpose: none}
41,The Table of Contents and Author Index are automatically generated.,0,{decision: allow; subject: none; action: generate; resource: author index; condition: none; purpose: none | decision: allow; subject: none; action: generate; resource: table of contents; condition: none; purpose: none}
42,", Springer, March 2001 (section 6.4.1, page 168).",0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
43,These overviews can be printed in case reviewers want to read the abstracts offline.,1,{decision: allow; subject: none; action: print; resource: overview; purpose: none; condition: reviewers want to read the abstracts offline}
44,"As far as we know from the comments of its users, CyberChair is the only system that has implemented the patterns identified by Nierstrasz.",0,{decision: allow; subject: cyberchair; action: implement; resource: patterns; condition: none; purpose: none}
45,Below is a description of the latest version of CyberChair.,0,{decision: allow; subject: none; action: none; resource: description of the latest version of cyberchair; condition: none; purpose: none}
46,We showed that browsers of today are able to send requests without the user taking action.,0,{decision: allow; subject: we; action: send; resource: requests; condition: none; purpose: none}
