,input,acp,output
0,"To support reviewers with making choices, CyberChair provides them with several webpages containing overviews of  the submitted abstracts.",1,{decision: allow; subject: cyberchair; action: provide; resource: webpage; purpose: support reviewers with making choices; condition: none}
1,CyberChair generates a paper distribution proposal for the PCC.,1,{decision: allow; subject: cyberchair; action: generate; resource: paper distribution proposal; purpose: none; condition: none}
2,"As soon as the full paper deadline has passed, the papers can be assigned to the reviewers.",1,{decision: allow; subject: none; action: assign; resource: paper; purpose: none; condition: none}
3,"In step 2, the full paper must be submitted by uploading it.",1,{decision: allow; subject: none; action: upload; resource: paper; purpose: none; condition: none}
4,"Although CyberChair is not something to sit in (please refer to www.cyberchair.com if you are looking for that), when you are a program chair, you can sit back, relax and watch the progress of the submission and review process.",1,{decision: allow; subject: cyberchair; action: watch; resource: progress of the submission; condition: none; purpose: none | decision: allow; subject: cyberchair; action: watch; resource: review process; condition: none; purpose: none}
5,"For this process to work smoothly, the abstracts should be submitted at least one week  before the full paper is submitted.",1,{decision: allow; subject: none; action: submit; resource: abstract; purpose: process to work smoothly; condition: one week  before the full paper is submitted}
6,"Usually, people are allowed to send their submission by email.",1,{decision: allow; subject: people; action: send; resource: submission; condition: none; purpose: none}
7,"Reviewers can indicate whether they are an expert on the topic (X), no expert, but knowledgable in the subject area (Y), or an informed outsider (Z).",1,{decision: allow; subject: reviewer; action: indicate; resource: whether they are an expert on the topic (x); purpose: none; condition: none | decision: allow; subject: reviewer; action: indicate; resource: whether they are an expert in the subject area (y); purpose: none; condition: none | decision: allow; subject: reviewer; action: indicate; resource: whether they are an informed outsider (z); purpose: none; condition: none}
8,Downloading of papers by the reviewers can start as soon as papers are submitted.,1,{decision: allow; subject: reviewer; action: download; resource: paper; purpose: none; condition: papers are submitted}
9,CyberChair points out conflicting reviews and offers the reviewers means to easily communicate to solve these conflicts.,1,{decision: allow; subject: cyberchair; action: point; resource: conflicting review; purpose: none; condition: none | decision: allow; subject: cyberchair; action: offer; resource: mean to easily communicate; purpose: solve these conflicts; condition: none}
10,"The current implementation collects the preferences (bids), expertise levels and willingness to review papers on certain topics and the conflicts of interest of the reviewers.",1,{decision: allow; subject: implementation; action: collect; resource: preference; purpose: none; condition: none | decision: allow; subject: implementation; action: collect; resource: expertise level; purpose: none; condition: none | decision: allow; subject: implementation; action: collect; resource: willingness to review paper; purpose: none; condition: none | decision: allow; subject: implementation; action: collect; resource: conflicts of interest; purpose: none; condition: none}
11,"In the first step, authors must fill in a webform shown by figures 1 and 2, on which they state their names and contact information, the title of their paper, an abstract of the paper, and indicate which conference topics their paper covers.",1,{decision: allow; subject: author; action: fill; resource: webform; purpose: none; condition: none}
12,"In case there are less than 4 reviewers, this process is repeated with the list of reviewers who indicated a low preference for the paper.",1,{decision: allow; subject: none; action: repeat; resource: review process; purpose: none; condition: there are less than 4 reviewers}
13,"The level of agreement among reviewers is indicated on each reviewer's personal page, using a coloring scheme.",1,{decision: allow; subject: none; action: indicate; resource: level of agreement; purpose: none; condition: none}
14,"After the meeting, the reviewers’ comments are sent back to the authors, so that they can improve their paper.",1,{decision: allow; subject: none; action: send; resource: comment; purpose: authors can improve their paper; condition: none}
15,The review process can be monitored by the chair.,1,{decision: allow; subject: chair; action: monitor; resource: review process; purpose: none; condition: none}
16,His or her personal webpage will then be updated automatically.,1,{decision: allow; subject: none; action: update; resource: webpage; purpose: none; condition: none}
17,"For each paper that a reviewer would like to review, the corresponding checkbox in the left part of the window should be marked.",1,{decision: allow; subject: none; action: mark; resource: checkbox; purpose: none; condition: none}
18,CyberChair assigns a unique identification to the submission and sends a login and password combination for step 2 to the contact person’s email address.,1,{decision: allow; subject: cyberchair; action: assign; resource: unique identification; purpose: none; condition: none | decision: allow; subject: cyberchair; action: send; resource: login; purpose: none; condition: none | decision: allow; subject: cyberchair; action: send; resource: password; purpose: none; condition: none}
19,Other reasons are that authors are forced to use it to submit their paper.,1,{decision: allow; subject: none; action: force; resource: author; purpose: submit their paper; condition: none}
20,Other scripts are so-called administrative scripts which are either started by the maintainer or automatically at regular intervals by the system (e.g. crontab on Unix systems).,1,{decision: allow; subject: maintainer; action: start; resource: administrative script; purpose: none; condition: none | decision: allow; subject: system; action: start; resource: administrative script; purpose: none; condition: none}
21,"After submission of a review, reviewers will be able to read the other reviewers' reviews and prepare for the PC meeting.",1,{decision: allow; subject: reviewer; action: read; resource: review; purpose: none; condition: none | decision: allow; subject: reviewer; action: prepare; resource: pc meeting; purpose: none; condition: none}
22,"You may also want to take a look at 2 posters: an overview (, 140 Kb) and a picture containing screenshots (, 1.71 Mb).",1,{decision: allow; subject: you; action: look; resource: poster; condition: none; purpose: none | decision: allow; subject: you; action: look; resource: picture; condition: none; purpose: none}
23,It generates several overviews based on the reviews which support the Program Committee (PC) in selecting the best papers.,1,{decision: allow; subject: it; action: generate; resource: overview; purpose: none; condition: none}
24,"This is used to discover papers that have only been reviewed by non-experts, so that the PCC may ask another reviewer to review the paper.",1,{decision: allow; subject: none; action: discover; resource: paper; purpose: pcc may ask another reviewer to review the paper; condition: none}
25,These overviews are currently updated at 5 minutes before the hour.,1,{decision: allow; subject: none; action: update; resource: overview; purpose: none; condition: none}
