,input,acp,output
0,Update a Schedule,0,{decision: allow; subject: update; action: update; resource: schedule; condition: none; purpose: none}
1,The courses a student has selected for the current semester.,0,{decision: allow; subject: none; action: select; resource: courses a student has selected for the current semester; condition: none; purpose: none}
2,"If the use case was successful, the professor information is added, updated, or deleted from the system.",1,{decision: allow; subject: none; action: add; resource: professor information; purpose: none; condition: use case was successful | decision: allow; subject: none; action: update; resource: professor information; purpose: none; condition: use case was successful | decision: allow; subject: none; action: delete; resource: professor information; purpose: none; condition: use case was successful}
3,This use case starts when the actor wishes to log into the Course Registration System.,0,{decision: allow; subject: none; action: log; resource: course registration system; condition: none; purpose: none}
4,"The Registrar can then enter a different id number or cancel the operation, at which point the use case ends.",1,{decision: allow; subject: registrar; action: enter; resource: id number; purpose: none; condition: none | decision: allow; subject: registrar; action: cancel; resource: operation; purpose: none; condition: none}
5,A person enrolled in classes at the university.,0,{decision: allow; subject: person; action: enroll; resource: classes at the university; condition: none; purpose: none}
6,Register for Courses,0,{decision: allow; subject: registrar; action: register; resource: courses; condition: none; purpose: none}
7,"Information about each course, such as professor, department, and prerequisites, will be included to help students make informed decisions.",0,{decision: allow; subject: none; action: include; resource: professor; purpose: help students make informed decisions; condition: none | decision: allow; subject: none; action: include; resource: department; purpose: help students make informed decisions; condition: none | decision: allow; subject: none; action: include; resource: prerequisites; purpose: help students make informed decisions; condition: none}
8,Save a Schedule,0,{decision: allow; subject: none; action: save; resource: schedule; condition: none; purpose: none}
9,"When the use case starts, if it is determined that registration for the current semester has been closed, a message is displayed to the Professor, and the use case terminates.",1,{decision: allow; subject: none; action: display; resource: message; purpose: none; condition: it is determined that registration for the current semester has been closed | decision: allow; subject: none; action: terminate; resource: use case; purpose: none; condition: it is determined that registration for the current semester has been closed}
10,The Registrar makes the desired changes to the student information.,1,{decision: allow; subject: registrar; action: change; resource: student information; purpose: none; condition: none}
11,The system is in the login state and has the login screen displayed.,0,{decision: allow; subject: system; action: display; resource: login screen; condition: none; purpose: none}
12,The system retrieves a list of all students who were registered for the course offering.,1,{decision: allow; subject: system; action: retrieve; resource: list of all students; purpose: none; condition: none}
13,"The system verifies that the selected offerings do not conflict (i.e., have the same dates and times) with each other or any course offerings that the professor has previously signed up to teach.",1,{decision: allow; subject: system; action: verify; resource: selected offering; purpose: none; condition: none}
14,The system will also indicate which are the conflicting courses.,1,{decision: allow; subject: system; action: indicate; resource: conflicting course; purpose: none; condition: none}
15,The Student also selects any course offerings to delete from the existing schedule.,1,{decision: allow; subject: student; action: select; resource: course offering; purpose: delete from the existing schedule; condition: none}
16,The system retrieves and displays the grade information for each of the course offerings the Student completed during the previous semester.,1,{decision: allow; subject: system; action: retrieve; resource: grade information; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: grade information; purpose: none; condition: none}
17,"If, in the Update a Student  or Delete a Student  sub-flows, a student with the specified id number does not exist, the system displays an error message.",1,{decision: allow; subject: system; action: display; resource: error message; purpose: none; condition: in the update a student  or delete a student  sub-flows_ a student with the specified id number does not exist}
18,The system then adds the Student to the selected course offering.,1,{decision: allow; subject: system; action: add; resource: student; purpose: none; condition: none}
