,input,acp,output
0,"The system retrieves and displays the Student’s current schedule (e.g., the schedule for the current semester).",1,{decision: allow; subject: system; action: retrieve; resource: schedule; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: schedule; purpose: none; condition: none}
1,The system cancels the course offering for each schedule that contains it.,1,{decision: allow; subject: system; action: cancel; resource: course offering; purpose: none; condition: none}
2,"The system requests that the Registrar specify the function he or she would like to perform (either Add a Student, Update a Student, or Delete a Student)",1,{decision: allow; subject: registrar; action: add; resource: student; purpose: none; condition: none | decision: allow; subject: registrar; action: update; resource: student; purpose: none; condition: none | decision: allow; subject: registrar; action: delete; resource: student; purpose: none; condition: none}
3,"The Professor can either resolve the schedule conflict (i.e., by canceling his selection to teach one of the course offerings), or cancel the operation, in which case, any selections will be lost, and the use case ends.",1,{decision: allow; subject: professor; action: resolve; resource: schedule conflict; purpose: none; condition: none | decision: allow; subject: professor; action: cancel; resource: operation; purpose: none; condition: none}
4,They will also need to see which students signed up for their course offerings.,1,{decision: allow; subject: they; action: see; resource: student; purpose: none; condition: none}
5,"If no alternates are available, then no substitution will be made.",1,{decision: allow; subject: none; action: make; resource: substitution; purpose: none; condition: no alternates are available}
6,The Student also selects any course offerings to delete from the existing schedule.,1,{decision: allow; subject: student; action: select; resource: course offering; purpose: delete from the existing schedule; condition: none}
7,"If a course offering becomes full while a student is building a schedule including that offering, the student must be notified.",1,{decision: allow; subject: none; action: notify; resource: student; purpose: none; condition: course offering becomes full while a student is building a schedule including that offering}
8,Only Professors can enter grades for students.,1,{decision: allow; subject: professor; action: enter; resource: grade; purpose: none; condition: none}
9,The professor selects possibly and possibly de-selects the course offerings that he or she wishes to teach for the upcoming semester.,1,{decision: allow; subject: professor; action: select; resource: course offering; purpose: none; condition: none | decision: allow; subject: professor; action: de-select; resource: course offering; purpose: none; condition: none}
10,The professor is added to the system.,1,{decision: allow; subject: none; action: add; resource: professor; purpose: none; condition: none}
11,The Student selects 4 primary course offerings and 2 alternate course offerings from the list of available offerings.,1,{decision: allow; subject: student; action: select; resource: primary course offering; purpose: none; condition: none | decision: allow; subject: student; action: select; resource: alternate course offering; purpose: none; condition: none}
12,This use case allows the Registrar to maintain student information in the registration system.,1,{decision: allow; subject: registrar; action: maintain; resource: student information; purpose: none; condition: none}
