,input,acp,output,origin
0,"The HCP chooses a specific referral from the list to view complete details about the referral: patient name, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",1,{decision: allow; subject: hcp; action: choose; resource: referral; purpose: view complete details about the referral; condition: none},acre
1,Another HCP must not be able to access the patient's personal question by password.,1,"{decision: deny; subject: hcp; action: access; resource: ""patients personal question""; purpose: none; condition: none}",collected_train
2,"A patient can click the ""View Full Calendar"" link to view his appointments in the current month.",1,{decision: allow; subject: patient; action: click; resource: view full calendar link; purpose: view his appointments in the current month; condition: none},t2p
3,The selected Lab Technician is not the intended Lab Technician.,0,{decision: allow; subject: selected lab technician; action: select; resource: selected lab technician; condition: none; purpose: none},na
4,The patient’s MID can not be edited.,1,{decision: deny; subject: none; action: edit; resource: mid; purpose: none; condition: none},t2p
5,PC members and authors of papers are known to everybody.,0,{decision: allow; subject: everybody; action: know; resource: pc members; purpose: none; condition: none | decision: allow; subject: everybody; action: know; resource: authors of papers; purpose: none; condition: none},na
6,"FBI agents in Yemen have taken swabs of explosive residue found in the apartment , and have sent them to Washington for analysis .",0,{decision: allow; subject: fbi agents in yemen; action: take; resource: swabs of explosive residue; condition: none; purpose: analysis | decision: allow; subject: fbi agents in yemen; action: take; resource: swabs of explosive residue; condition: none; purpose: analysis},na
7,Israeli Prime Minister Ehud Barak is heading to Washington for talks today with President Clinton as deadly clashes continue in the Gaza Strip and West Bank .,0,{decision: allow; subject: israeli prime minister ehud barak; action: head; resource: washington; condition: none; purpose: talks today with president clinton},na
8,Professors cannot change the lectures they give during the current semester.,1,{decision: deny; subject: professors; action: change; resource: lectures; purpose: none; condition: during the current semester},collected_train
9,"It eases the submission of author information, papers and reviews instantly in electronic form, using the web.",0,{decision: allow; subject: it; action: eases; resource: submission of author information; condition: none; purpose: none | decision: allow; subject: it; action: eases; resource: reviews; condition: none; purpose: none | decision: allow; subject: it; action: eases; resource: papers; condition: none; purpose: none},na
10,An LHCP views a list of pending appointment requests.,1,{decision: allow; subject: lhcp; action: view; resource: list of pending appointment requests; purpose: none; condition: none},acre
11,"And in April , Taiwan 's Mainland Affairs Council invited members of the Taiwan Universities Alumni Association on a visit back to Taiwan , "" to hear our views on Taiwan - Macau relations , "" says Leong Hong Sai .",0,"{decision: allow; subject: ""taiwans mainland affairs council""; action: invite; resource: members of the taiwan universities alumni association; condition: none; purpose: to hear our views on taiwan - macau relations}",na
13,The iTrust Admin has authenticated himself or herself in the iTrust Medical Records system (UC3).,0,{decision: allow; subject: itrust admin; action: authenticate; resource: himself; condition: none; purpose: none},na
14,"The LHCP, the patient or the representative clicks the ""Save"" button to save the modified filter.",1,{decision: allow; subject: lhcp; action: click; resource: save button; purpose: save the modified filter; condition: none | decision: allow; subject: patient; action: click; resource: save button; purpose: save the modified filter; condition: none | decision: allow; subject: representative; action: click; resource: “save” button; purpose: save the modified filter; condition: none},t2p
15,A user with administrator privileges should be able to delete files in the system.,1,{decision: allow; subject: user; action: delete; resource: file; condition: none; purpose: none},collected_train
16,The doctor will then have temporary access to the resident's medical records (but not to the private notes of the resident's ordinary doctor).,1,{decision: allow; subject: doctor; action: access; resource: residents medical records; purpose: none; condition: none | decision: deny; subject: doctor; action: access; resource: private notes of the residents ordinary doctor; purpose: none; condition: none},collected_train
17,Designated Licensed Health Care Professional (DLHCP): A licensed health care professional that is allowed by a particular patient to view all approved medical records.,1,{decision: allow; subject: designated licensed health care professional; action: view; resource: medical record; purpose: none; condition: none},acre
18,"The US also wants to go beyond Japan to keep good relations with China , South Korea , and other Asian countries .",0,{decision: allow; subject: us; action: go; resource: beyond china; condition: none; purpose: keep good relations with china south korea and other asian countries},na
19,"No competitor to such paper shall resign, once he has already appointed a sub - reviewer for that paper.",1,{decision: deny; subject: competitor; action: resign; resource: none; condition: once he has already appointed a sub reviewer for that paper; purpose: none},collected_train
20,"The patient enters the text of the response message (up to 1000 characters), then clicks the send button.",1,{decision: allow; subject: patient; action: enter; resource: text of the response message; purpose: none; condition: none | decision: allow; subject: patient; action: click; resource: send button; purpose: none; condition: none},t2p
21,"The conference proposed that in positively carrying out economic work next year , the most important thing is to fully implement a concept of scientific development and to maintain steady and relatively rapid economic development , avoiding any big swings .",0,{decision: allow; subject: conference; action: fully implement; resource: concept of scientific development; condition: none; purpose: none | decision: allow; subject: conference; action: maintain; resource: steady and relatively rapid economic development; condition: avoiding any big swings; purpose: none},na
22,"The top frame is automatically updated every 5 minutes, to reflect the current state of the reviews of the papers.",0,{decision: allow; subject: none; action: update; resource: top frame; purpose: reflect the current state of the reviews of the papers; condition: none},na
24," ""Only authorized developers can deploy code to the production environment.""",1,{decision: allow; subject: authorized developers; action: deploy; resource: code; condition: to the production environment; purpose: none},collected_train
25,The authors claim that there is no provision for a server to send asynchronous updates.,0,{decision: allow; subject: authors; action: send; resource: asynchronous updates; condition: none; purpose: none},na
26,"Although more conference management systems exist  and many conferences use electronic uploading and some kind of reviewing system, no such system was found in the literature.",0,{decision: allow; subject: none; action: find; resource: none; condition: although more conference management systems exist and many conferences use electronic uploading and some kind of reviewing system; purpose: none},na
27,"The goal is to get the citizens involved , so that they can help create a Taipei that they feel belongs to them .",0,{decision: allow; subject: none; action: get; resource: citizens involved; condition: none; purpose: so that they can help create a taipei that they feel belongs to them},na
28,"* asthma (is diagnosed with ICD code beginning with 493), or.",0,{decision: allow; subject: none; action: diagnose; resource: icd code beginning with 493; condition: none; purpose: none | decision: allow; subject: none; action: diagnose; resource: asthma; condition: none; purpose: none},na
29,Russian President Vladimir Putin is visiting Havana for talks with Cuban President Fidel Castro .,0,{decision: allow; subject: russian president; action: visit; resource: havana; condition: none; purpose: for talks with cuban president fidel castro},na
30,The Israeli and Palestinian leaders have spoken by telephone in a new effort to try to stem the ongoing violence in the Middle East .,0,{decision: allow; subject: israeli leaders; action: speak; resource: none; condition: none; purpose: try to stem the ongoing violence in the middle east | decision: allow; subject: palestinian leaders; action: speak; resource: none; condition: none; purpose: try to stem the ongoing violence in the middle east},na
31,So that means we need a good shuttle that 's going to take us back and forth to build the spacecraft .,0,{decision: allow; subject: none; action: take; resource: shuttle; condition: none; purpose: to build the spacecraft},na
32,A user enters their MID and their password to gain role-based entry into the iTrust Medical Records system  or requests that their password be changed .,1,{decision: allow; subject: user; action: enter; resource: mid; purpose: gain role-based entry into the itrust medical records system; condition: none | decision: allow; subject: user; action: enter; resource: password; purpose: gain role-based entry into the itrust medical records system; condition: none | decision: allow; subject: user; action: request; resource: password; purpose: change; condition: none},acre
33,one professional cannot review a project she or he has submitted.,1,{decision: deny; subject: professional; action: review; resource: project; purpose: none; condition: none},collected_train
34,"Information about each course, such as professor, department, and prerequisites, will be included to help students make informed decisions.",0,{decision: allow; subject: none; action: include; resource: professor; purpose: help students make informed decisions; condition: none | decision: allow; subject: none; action: include; resource: department; purpose: help students make informed decisions; condition: none | decision: allow; subject: none; action: include; resource: prerequisites; purpose: help students make informed decisions; condition: none},na
36,Palestinian President Yasser Arafat is turning to Russia for help in ending the Mideast violence .,0,{decision: allow; subject: palestinian president; action: turn; resource: russia; condition: none; purpose: for help in ending the mideast violence},na
37,A person teaching classes at the university.,0,{decision: allow; subject: person teaching classes at the university; action: teach; resource: students; condition: none; purpose: none},na
38,For administrative purposes any authenticated user can delete Resource C.,1,{decision: allow; subject: authenticated user; action: delete; resource: c; condition: none; purpose: administrative purposes},collected_train
39,A user enters their MID and their password to gain role-based entry into iTrust.,1,{decision: allow; subject: user; action: enter; resource: mid; purpose: gain role-based entry into itrust; condition: none | decision: allow; subject: user; action: enter; resource: password; purpose: gain role-based entry into itrust; condition: none},t2p
40,The patient then chooses the beginning and end date for the period of time.,1,{decision: allow; subject: patient; action: choose; resource: beginning date; purpose: none; condition: none | decision: allow; subject: patient; action: choose; resource: end date; purpose: none; condition: none},t2p
41,All employees are prohibited from accessing sensitive financial data unless authorized by the finance department.,1,{decision: allow; subject: employees; action: access; resource: sensitive financial data; condition: unless authorized by the finance department; purpose: none},collected_train
42,"Seeking to find market niches , various clubs are targeting specific market segments .",0,{decision: allow; subject: various clubs; action: target; resource: specific market segments; condition: none; purpose: find market niches},na
43,"If the subject is a student, subject should not to take this class off the grades.",1,{decision: deny; subject: subject; action: take; resource: class; condition: subject is a student; purpose: none},collected_train
44,"When the HCP selects the ""Other"" reason, the HCP shall enter free-style text to provide the details for ""Other"" reasons.",1,"{decision: allow; subject: hcp; action: enter; resource: text; purpose: provide the details for ""other"" reasons; condition: when the HCP selects the other reason}",acre
46," ""The website visitors can only view public content and submit contact forms.""",1,{decision: allow; subject: website visitors; action: view; resource: public content; condition: none; purpose: none | decision: allow; subject: website visitors; action: submit; resource: contact forms; condition: none; purpose: none},collected_train
47,Practitioners cannot  add private notes about a resident.,1,{decision: deny; subject: practitioners; action: add; resource: private notes about a resident; purpose: none; condition: none},collected_train
48,"Yesterday , protesters blocked the entrance to protest what they claim is the company 's inaction against global warming .",0,"{decision: allow; subject: protesters; action: block; resource: entrance; condition: none; purpose: ""to protest what they claim is the company s inaction against global warming""}",na
