,input,acp,output
0,"For each patient from the monitoring list, the LHCP can edit blood pressure, glucose levels, height, weight and pedometer readings.",1,{decision: allow; subject: lhcp; action: edit; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: lhcp; action: edit; resource: glucose level; purpose: none; condition: none | decision: allow; subject: lhcp; action: edit; resource: weight; purpose: none; condition: none | decision: allow; subject: lhcp; action: edit; resource: height; purpose: none; condition: none | decision: allow; subject: lhcp; action: edit; resource: pedometer reading; purpose: none; condition: none}
1,The LHCP is able to view the comprehensive patient report.,1,{decision: allow; subject: lhcp; action: view; resource: patient report; purpose: none; condition: none}
2,"The reports are viewed under the ""View My Records"" tab.",1,{decision: allow; subject: none; action: view; resource: report; condition: none; purpose: none}
3,"The input data, a timestamp and the fact are saved.",1,{decision: allow; subject: none; action: save; resource: input data; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: timestamp; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: fact; purpose: none; condition: none}
4,"An LHCP views the height, weight and pedometer data monitoring details.",1,{decision: allow; subject: lhcp; action: view; resource: height; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: weight; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: pedometer data monitoring details; purpose: none; condition: none}
5,"System presents a list of the patient's expired prescriptions, sorted by start date (the later date is ranked earlier closer to the top).",1,{decision: allow; subject: system; action: present; resource: list of the patients expired prescriptions; purpose: none; condition: none}
6,"The appointments in the list shall be ordered by appointment date and time, the soonest upcoming first.",1,{decision: allow; subject: none; action: order; resource: appointments in the list; purpose: none; condition: none}
7,The event is logged and the HCP is returned in the specific office visit record to verify his changes.,1,{decision: allow; subject: none; action: log; resource: event; purpose: none; condition: none | decision: allow; subject: hcp; action: return; resource: office visit record; purpose: verify his changes; condition: none}
8,An LHCP views a list of his upcoming appointments.,1,{decision: allow; subject: lhcp; action: view; resource: upcoming appointment; purpose: none; condition: none}
9,An administrator maintains the hospital listing.,1,{decision: allow; subject: administrator; action: maintain; resource: hospital listing; purpose: none; condition: none}
10,System displays his appointments on the calendar.,1,{decision: allow; subject: system; action: display; resource: appointment; purpose: none; condition: none}
11,The HCP selects reasons out from the nine reasons listed here for the overriding.,1,{decision: allow; subject: hcp; action: select; resource: reason; purpose: none; condition: none}
12,"System presents an option (""finish"", ""decline"", ""pending"" with ""pending"" as default value) to mark the status of the consultation and a text box to enter the details of the consultation.",1,{decision: allow; subject: system; action: present; resource: option; purpose: mark the status of the consultation; condition: none | decision: allow; subject: system; action: present; resource: text box; purpose: enter the details of the consultation; condition: none}
13,"A patient, personal health representative or HCP views laboratory procedure status.",1,{decision: allow; subject: patient; action: view; resource: laboratory procedure status; purpose: none; condition: none | decision: allow; subject: hcp; action: view; resource: laboratory procedure status; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: laboratory procedure status; purpose: none; condition: none}
14,The HCP can add the prescription to the list of medications.,1,{decision: allow; subject: hcp; action: add; resource: prescription; purpose: none; condition: none}
15,The administrator is allowed to add a new entry for a reason.,1,{decision: allow; subject: administrator; action: add; resource: entry; purpose: none; condition: none}
16,The HCP can edit the patient according to data format.,1,{decision: allow; subject: hcp; action: edit; resource: patient; purpose: none; condition: none}
17,The drug is checked against the patient's drug allergies.,1,{decision: allow; subject: none; action: check; resource: drug; purpose: none; condition: none}
18,The user can select a laboratory procedure from the calendar to read the laboratory procedure's details.,1,{decision: allow; subject: user; action: select; resource: laboratory procedure; purpose: read the laboratory procedure’s details; condition: none}
19,The LHCP obtains a printable report.,1,{decision: allow; subject: lhcp; action: obtain; resource: report; purpose: none; condition: none}
20,An LHCP refers a patient to another receiving LHCP.,1,{decision: allow; subject: lhcp; action: refer; resource: patient; purpose: none; condition: none}
21,The HCP notes about an office visit.,1,{decision: allow; subject: hcp; action: note; resource: office visit; purpose: none; condition: none}
22,System presents a listing of all immunizations for which he has been administered in the last 12 months.,1,{decision: allow; subject: system; action: present; resource: listing of all immunizations; purpose: none; condition: none}
23,"An LHCP, patient and representative can sort his message inbox and message outbox.",1,{decision: allow; subject: lhcp; action: sort; resource: message inbox; purpose: none; condition: none | decision: allow; subject: patient; action: sort; resource: message inbox; purpose: none; condition: none | decision: allow; subject: representative; action: sort; resource: message inbox; purpose: none; condition: none | decision: allow; subject: lhcp; action: sort; resource: message outbox; purpose: none; condition: none | decision: allow; subject: patient; action: sort; resource: message outbox; purpose: none; condition: none | decision: allow; subject: representative; action: sort; resource: message outbox; purpose: none; condition: none}
24,The HCP can disallow viewing access to the laboratory results.,1,{decision: deny; subject: hcp; action: view; resource: laboratory results; purpose: none; condition: none}
25,"The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.",1,{decision: allow; subject: patient; action: enter; resource: zip code; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: name; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: specialty; purpose: none; condition: none}
26,A public health agent selects a specific time period for which he would like to see a detailed listing of all adverse events related to prescription drugs or immunizations.,1,{decision: allow; subject: public health agent; action: select; resource: time period; purpose: see a detailed listing of all adverse events related to prescription drugs or immunizations; condition: none}
27,The LHCP or ER enters a MID and confirms the input.,1,{decision: allow; subject: lhcp; action: enter; resource: mid; purpose: none; condition: none | decision: allow; subject: lhcp; action: confirm; resource: input; purpose: none; condition: none | decision: allow; subject: er; action: enter; resource: mid; purpose: none; condition: none | decision: allow; subject: er; action: confirm; resource: input; purpose: none; condition: none}
28,The patient chooses My Diagnoses.,1,{decision: allow; subject: patient; action: choose; resource: my diagnoses; purpose: none; condition: none}
29,"A patient, patient representative, or LHCP can sort messages in his message outbox by the recipient's last name or timestamp (but not both) in either ascending or descending order.",1,{decision: allow; subject: patient; action: sort; resource: message; purpose: none; condition: none | decision: allow; subject: patient representative; action: sort; resource: message; purpose: none; condition: none | decision: allow; subject: lhcp; action: sort; resource: message; purpose: none; condition: none}
30,"When an LHCP views a list of his upcoming appointments, system presents an option to edit or remove the appointment.",1,{decision: allow; subject: system; action: present; resource: option; purpose: remove the appointment; condition: lhcp views a list of his upcoming appointments | decision: allow; subject: system; action: present; resource: option; purpose: edit the appointment; condition: lhcp views a list of his upcoming appointments}
31,The patient views his access log.,1,{decision: allow; subject: patient; action: view; resource: access log; purpose: none; condition: none}
32,"The admin must specify a specialty for a new LHCP (General Physician, Heart Surgeon, OB, GYN, Pediatrician, or Surgeon).",1,{decision: allow; subject: admin; action: specify; resource: specialty; purpose: none; condition: none}
33,The patient can undesignate any LHCP as being a DLHCP for them.,1,{decision: allow; subject: patient; action: undesignate; resource: lhcp; purpose: none; condition: none}
34,A public health agent sees trends in adverse events relate to prescription drugs or immunizations.,1,{decision: allow; subject: public health agent; action: see; resource: trends in adverse events related to prescription drugs; purpose: none; condition: none | decision: allow; subject: public health agent; action: see; resource: trends in adverse events related to immunizations; purpose: none; condition: none}
35,The data for personnel can be edited according to Data Format.,1,{decision: allow; subject: none; action: edit; resource: data; purpose: none; condition: none}
36,"The representative enters the text of the response message (up to 1000 characters), then clicks the send button.",1,{decision: allow; subject: representative; action: enter; resource: text; purpose: none; condition: none | decision: allow; subject: representative; action: click; resource: send button; purpose: none; condition: none}
37,"An LHCP, patient or representative can modify his ""messagedisplayingfilter"" by modifying the following filtering criteria.",1,"{decision: allow; subject: lhcp; action: modify; resource: ""messagedisplayingfilter”; purpose: none; condition: none | decision: allow; subject: patient; action: modify; resource: ""messagedisplayingfilter”; purpose: none; condition: none | decision: allow; subject: representative; action: modify; resource: ""messagedisplayingfilter”; purpose: none; condition: none}"
38,The administrator stores hospital Id number for the hospital and the name of the hospital.,1,{decision: allow; subject: administrator; action: store; resource: hospital id number; purpose: none; condition: none | decision: allow; subject: administrator; action: store; resource: name of the hospital; purpose: none; condition: none}
39,The HCP's medical identification number should also be maintained.,1,{decision: allow; subject: none; action: maintain; resource: medical identification number; purpose: none; condition: none}
40,The HCP selects a medication prescribed from a pull down list.,1,{decision: allow; subject: hcp; action: select; resource: medication; purpose: none; condition: none}
41,A patient or personal representative may view medical records including family history.,1,{decision: allow; subject: patient; action: view; resource: medical record; purpose: none; condition: none | decision: allow; subject: personal representative; action: view; resource: medical record; purpose: none; condition: none}
42,The LHCP then sends the request or to cancel.,1,{decision: allow; subject: lhcp; action: send; resource: request; purpose: cancel; condition: none}
43,"A fake email is sent to the LHCP who administered the immunization indicating the patient name and MID, drug, and symptoms.",1,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none}
44,System presents a list of the patients.,1,{decision: allow; subject: system; action: present; resource: list of patients; purpose: none; condition: none}
45,"A patient views basic information about his designated LHCPs, including the name, phone number, and contact email information.",1,{decision: allow; subject: patient; action: view; resource: basic information; purpose: none; condition: none}
46,"Additionally, the HCP can document none, one, or more medications prescribed; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures performed; and none, one, or more immunizations given chosen from appropriate pull-down lists.",1,{decision: allow; subject: hcp; action: document; resource: medication; purpose: none; condition: none | decision: allow; subject: hcp; action: document; resource: lab procedure; purpose: none; condition: none | decision: allow; subject: hcp; action: document; resource: diagnose; purpose: none; condition: none | decision: allow; subject: hcp; action: document; resource: medical procedure; purpose: none; condition: none | decision: allow; subject: hcp; action: document; resource: immunization; purpose: none; condition: none}
47,"System presents a list of the patients whose height, weight, or pedometer data type is specified to be under monitoring and for which he or she is allowed to report measurements.",1,{decision: allow; subject: system; action: present; resource: list of patients; purpose: none; condition: none}
48,System displays his appointments in the current month.,1,{decision: allow; subject: system; action: display; resource: appointment; purpose: none; condition: none}
49,"System presents the patient’s name, patient’s address, and patient’s date of last office visit.",1,{decision: allow; subject: system; action: present; resource: patients name; purpose: none; condition: none | decision: allow; subject: system; action: present; resource: patients address; purpose: none; condition: none | decision: allow; subject: system; action: present; resource: patients date of last office visit; purpose: none; condition: none}
50,The HCP does not have the ability to enter the patient's security question and password.,1,{decision: deny; subject: hcp; action: enter; resource: patients security question; purpose: none; condition: none | decision: deny; subject: hcp; action: enter; resource: patients password; purpose: none; condition: none}
51,"He can report the height, weight and pedometer reading for the patient.",1,{decision: allow; subject: he; action: report; resource: height; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: weight; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: pedometer reading; purpose: none; condition: none}
52,"The notification center also displays a list of the patient and patient representee upcoming appointments, the information of his designated HCP, and the number of unread messages from his message inbox.",1,{decision: allow; subject: notification center; action: display; resource: list of the patient and patient representee upcoming appointment; purpose: none; condition: none | decision: allow; subject: notification center; action: display; resource: information of his designated hcp; purpose: none; condition: none | decision: allow; subject: notification center; action: display; resource: number of unread messages; purpose: none; condition: none}
53,"A link of ""Older Activities"" shall be displayed.",1,{decision: allow; subject: none; action: display; resource: link of older activities; purpose: none; condition: none}
54,The administrator chooses a drug from each list to record an interaction between the two drugs.,1,{decision: allow; subject: administrator; action: choose; resource: drug; purpose: record an interaction between the two drugs; condition: none}
55,A LHCP creates UAPs.,1,{decision: allow; subject: lhcp; action: create; resource: uap; purpose: none; condition: none}
56,The LHCP views all patients with which he or she has ever had an office visit with.,1,{decision: allow; subject: lhcp; action: view; resource: patient; purpose: none; condition: has ever had an office visit with the lhcp}
