,inputs,policies,policies_sent,labels
0,Professors cannot accommodate the courses they teach once the space for this current class is closed for renovation.,"[{'decision': 'allow', 'subject': 'professor', 'action': 'accommodate', 'resource': 'courses they teach', 'condition': 'once the space for this current class is closed', 'purpose': 'renovation'}]","professor is able to accommodate courses they teach for the purpose of renovation, if once the space for this current class is closed",0
1,Human resources staff are permitted to modify employee’s personal data for the purpose of updating payroll information only during working hours.,"[{'decision': 'allow', 'subject': 'human resources staff', 'action': 'modify', 'resource': 'employee’s personal data', 'purpose': 'updating payroll information', 'condition': 'none'}]",human resources staff is shall to modify employee’s personal data for the purpose of updating payroll information,8
2,"Only accounting clerks in the finance department may access and modify company financial records, provided the operation is within business hours and validated by a supervisor.","[{'decision': 'allow', 'subject': 'accounting clerk in the finance department', 'action': 'access', 'resource': 'company financial record', 'purpose': 'none', 'condition': 'none'}, {'decision': 'allow', 'subject': 'accounting clerk in the finance department', 'action': 'modify', 'resource': 'company financial record', 'purpose': 'none', 'condition': 'operation is within business hours and validated by a supervisor'}]",accounting clerk in the finance department is shall to access company financial record and accounting clerk in the finance department is allowed to modify company financial record if operation is within business hours and validated by a supervisor,8
3,The patient chooses the immunization for which to report the adverse event.,"[{'decision': 'allow', 'subject': 'patient', 'action': 'choose', 'resource': 'immunization', 'condition': 'none', 'purpose': 'improving system performance'}]",patient is allowed to choose immunization for the purpose of improving system performance,5
4,"IT administrators are allowed to access, modify, and delete system configurations only during maintenance periods to ensure system stability and security.","[{'decision': 'allow', 'subject': 'IT administrator', 'action': 'access', 'resource': 'system configuration', 'purpose': 'none', 'condition': 'only during maintenance periods'}, {'decision': 'allow', 'subject': 'IT administrator', 'action': 'modify', 'resource': 'system configuration', 'purpose': 'ensure system stability and security', 'condition': 'only during maintenance periods'}, {'decision': 'allow', 'subject': 'IT administrator', 'action': 'delete', 'resource': 'system configuration', 'purpose': 'ensure system stability and security', 'condition': 'only during maintenance periods'}]","IT administrator is shall to access system configuration if only during maintenance periods and IT administrator is shall to modify system configuration for the purpose of ensure system stability and security, if only during maintenance periods and IT administrator is shall to delete system configuration for the purpose of ensure system stability and security, if only during maintenance periods",9
5,"Pharmacists are authorized to update the patient's drug information only for the purpose of drug dispensing related activities, but they cannot modify any other personal data unless the patient has provided explicit consent.","[{'decision': 'allow', 'subject': 'pharmacist', 'action': 'update', 'resource': 'patient drug information', 'purpose': 'drug dispensing related activities', 'condition': 'none'}]",pharmacist is able to update patient drug information for the purpose of drug dispensing related activities,10
6,The system directs the user to make a different choice.,"[{'decision': 'allow', 'subject': 'system', 'action': 'direct', 'resource': 'user', 'condition': 'none', 'purpose': 'none'}]",system is shall to direct user,9
7,The HCP must cancel the prescription.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'cancel', 'resource': 'new resident', 'condition': 'none', 'purpose': 'none'}]",hcp is authorized to cancel new resident,3
8,The pharmacist can access and update a patient's prescription information in the medical database for pending medication orders provided the patient has been checked in.,"[{'decision': 'allow', 'subject': 'pharmacist', 'action': 'access', 'resource': 'patient prescription information', 'purpose': 'pending medication orders', 'condition': 'patient has been checked in'}, {'decision': 'allow', 'subject': 'pharmacist', 'action': 'update', 'resource': 'patient prescription information', 'purpose': 'none', 'condition': 'patient has been checked in'}]","pharmacist is able to access patient prescription information for the purpose of pending medication orders, if patient has been checked in and pharmacist is able to update patient prescription information if patient has been checked in",9
9,"Financial department employees can view, update, and handle financial documents for auditing and tracking purposes on weekdays from 9 AM to 5 PM.","[{'decision': 'allow', 'subject': 'financial department employee', 'action': 'update', 'resource': 'financial document', 'purpose': 'auditing and tracking', 'condition': 'on weekdays from 9 AM to 5 PM'}, {'decision': 'allow', 'subject': 'financial department employee', 'action': 'handle', 'resource': 'financial document', 'purpose': 'auditing and tracking', 'condition': 'on weekdays from 9 AM to 5 PM'}]","financial department employee is able to update financial document for the purpose of auditing and tracking, if on weekdays from 9 AM to 5 PM and financial department employee is able to handle financial document for the purpose of auditing and tracking, if on weekdays from 9 AM to 5 PM",10
10,"Pharmacists are authorized to update the patient's drug information only for the purpose of drug dispensing related activities, but they cannot modify any other personal data unless the patient has provided explicit consent.","[{'decision': 'allow', 'subject': 'pharmacist', 'action': 'update', 'resource': 'crop production details', 'purpose': 'drug dispensing related activities', 'condition': 'none'}, {'decision': 'deny', 'subject': 'pharmacist', 'action': 'modify', 'resource': 'other personal data', 'purpose': 'none', 'condition': 'patient has provided explicit consent'}]",pharmacist is shall to update crop production details for the purpose of drug dispensing related activities and pharmacist is not able to modify other personal data if patient has provided explicit consent,3
11,"The admin must specify a specialty for a new LHCP (general physician, heart surgeon, OB-GYN, pediatrician, surgeon) and for a new LT ( blood, tissue, or general).","[{'decision': 'allow', 'subject': 'admin', 'action': 'connect', 'resource': 'specialty for a new lhcp (general physician, heart surgeon, obgyn, pediatrician, surgeon)', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'admin', 'action': 'specify', 'resource': 'specialty for a new lt ( blood, tissue, or general)', 'condition': 'none', 'purpose': 'none'}]","admin is authorized to connect specialty for a new lhcp (general physician, heart surgeon, obgyn, pediatrician, surgeon) and admin is authorized to specify specialty for a new lt ( blood, tissue, or general)",2
12,"although she should enter in past medical register when a resident is injured, jenny cannot subsequently add previous entries through the list.","[{'decision': 'deny', 'subject': 'jenny', 'action': 'add', 'resource': 'previous entrie', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'jenny', 'action': 'enter', 'resource': 'past medical register', 'condition': 'none', 'purpose': 'none'}]",jenny is prohibited to add previous entrie and jenny is able to enter past medical register,8
