,inputs,policies,policies_sent,labels
0,The HCP selects a different procedure code.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'apply', 'resource': 'different procedure code', 'condition': 'none', 'purpose': 'none'}]",hcp is shall to apply different procedure code,2
1,"Bank tellers are permitted to access and update client’s basic account information for transaction purposes, provided there are no identified risks for fraudulent activities.","[{'decision': 'allow', 'subject': 'bank teller', 'action': 'access', 'resource': 'client’s basic account information', 'purpose': 'transaction purposes', 'condition': 'no identified risks for fraudulent activities'}, {'decision': 'allow', 'subject': 'bank teller', 'action': 'update', 'resource': 'client’s basic account information', 'purpose': 'transaction purposes', 'condition': 'no identified risks for fraudulent activities'}]","bank teller is authorized to access client’s basic account information for the purpose of transaction purposes, if no identified risks for fraudulent activities and bank teller is authorized to update client’s basic account information for the purpose of transaction purposes, if no identified risks for fraudulent activities",11
2,The director can promote an employee to be a  manager.,"[{'decision': 'allow', 'subject': 'director', 'action': 'promote', 'resource': 'employee', 'condition': 'none', 'purpose': 'none'}]",director is able to promote employee,9
3,Clerk can read from database.,"[{'decision': 'allow', 'subject': 'insurance claim processor', 'action': 'read', 'resource': 'database', 'condition': 'none', 'purpose': 'none'}]",insurance claim processor is authorized to read database,1
4,An LHCP or UAP can add and delete patients from his or her monitoring list.,"[{'decision': 'allow', 'subject': 'lhcp', 'action': 'delete', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'uap', 'action': 'delete', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'add', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}]",lhcp is allowed to delete patient and uap is shall to delete patient and lhcp is shall to add patient,10
5,The LHCP can select a patient to obtain additional information about a patient .,"[{'decision': 'allow', 'subject': 'none', 'action': 'select', 'resource': 'patient', 'condition': 'none', 'purpose': 'obtain additional information about a patient'}]",patient is authorized to be select for the purpose of obtain additional information about a patient,6
6,"Medical billing personnel are permitted to access patient billing histories for billing-related queries only, provided that the access does not occur outside regular working hours.","[{'decision': 'allow', 'subject': 'medical billing personnel', 'action': 'access', 'resource': 'patient billing history', 'purpose': 'billing-related queries', 'condition': 'none'}]",medical billing personnel is shall to access patient billing history for the purpose of billing-related queries,8
7,"For example, write a check use case should be invoked by (authorized to) clerk role.","[{'decision': 'allow', 'subject': 'clerk', 'action': 'install', 'resource': 'write a check use case', 'condition': 'none', 'purpose': 'none'}]",clerk is allowed to install write a check use case,2
8,Pharmacy system should not collect patient records if system cannot read patient status orders.,"[{'decision': 'deny', 'subject': 'pharmacy system', 'action': 'collect', 'resource': 'patient record', 'condition': 'system incident or maintenance event in progress', 'purpose': 'none'}]",pharmacy system is unauthorized to collect patient record if system incident or maintenance event in progress,4
9,"The patient chooses 'My Diagnoses"" and is presented with a listing of all their own diagnoses, sorted by diagnosis date (more recent first).","[{'decision': 'allow', 'subject': 'patient', 'action': 'choose', 'resource': '‘my diagnose', 'condition': 'none', 'purpose': 'actual visit'}]",patient is shall to choose ‘my diagnose for the purpose of actual visit,5
10,"An administrator enters a LHCP, ER, or public health agent as a user of iTrust Medical Records system, initially only the name and email are provided.","[{'decision': 'allow', 'subject': 'administrator', 'action': 'enter', 'resource': 'er', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'administrator', 'action': 'enter', 'resource': 'public health agent', 'condition': 'none', 'purpose': 'none'}]",administrator is shall to enter er and administrator is shall to enter public health agent,10
